result_id,season_name,season_id,matchday_number,event_id,home_team,away_team,home_goals,away_goals,total_goals,o15,o25,u25,u35,gg,ng,has_core_odds,has_league_snapshot,over_15,over_25,under_25,under_35,gg_yes,ng_yes,home_win,draw,away_win
204258,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:AstonVilla:ManchesterBlue,Aston Villa,Manchester Blue,1,2,3,,,,,,,False,True,True,True,False,True,True,False,False,False,True
204201,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Bournemouth:ManchesterBlue,Bournemouth,Manchester Blue,0,4,4,,,,,,,False,True,True,True,False,False,False,True,False,False,True
36532,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:Bournemouth:Wolverhampton,Bournemouth,Wolverhampton,3,1,4,1.25,1.85,1.85,1.3,1.8,1.9,True,True,True,True,False,False,True,False,True,False,False
36538,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:Brighton:Tottenham,Brighton,Tottenham,1,2,3,1.3,2.05,1.7,1.25,1.85,1.9,True,True,True,True,False,True,True,False,False,False,True
204253,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Chelsea:Fulham,Chelsea,Fulham,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
204204,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Chelsea:ManchesterRed,Chelsea,Manchester Red,2,1,3,,,,,,,False,True,True,True,False,True,True,False,True,False,False
204198,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:CrystalPalace:Fulham,Crystal Palace,Fulham,0,1,1,,,,,,,False,True,False,False,True,True,False,True,False,False,True
36535,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:Crystal Palace:Liverpool,Crystal Palace,Liverpool,0,2,2,1.22,1.7,2.0,1.35,1.85,1.85,True,True,True,False,True,True,False,True,False,False,True
36536,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:Everton:Aston Villa,Everton,Aston Villa,0,1,1,1.6,3.0,1.35,1.09,2.25,1.6,True,True,False,False,True,True,False,True,False,False,True
204254,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Everton:ManchesterRed,Everton,Manchester Red,1,2,3,,,,,,,False,True,True,True,False,True,True,False,False,False,True
204259,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Leeds:CrystalPalace,Leeds,Crystal Palace,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
36534,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:Leeds:Chelsea,Leeds,Chelsea,1,2,3,1.4,2.35,1.55,1.18,2.35,1.55,True,True,True,True,False,True,True,False,False,False,True
204197,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Leeds:Tottenham,Leeds,Tottenham,0,2,2,,,,,,,False,True,True,False,True,True,False,True,False,False,True
204255,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Liverpool:Brighton,Liverpool,Brighton,0,0,0,,,,,,,False,True,False,False,True,True,False,True,False,True,False
204203,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Liverpool:Everton,Liverpool,Everton,4,0,4,,,,,,,False,True,True,True,False,False,False,True,True,False,False
36533,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:London Guns:Fulham,London Guns,Fulham,2,0,2,1.25,1.9,1.85,1.3,2.15,1.6,True,True,True,False,True,True,False,True,True,False,False
204260,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:LondonGuns:Tottenham,London Guns,Tottenham,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
204199,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:LondonGuns:AstonVilla,London Guns,Aston Villa,3,0,3,,,,,,,False,True,True,True,False,True,False,True,True,False,False
36537,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:Manchester Red:Manchester Blue,Manchester Red,Manchester Blue,5,1,6,1.2,1.7,2.05,1.4,1.6,2.15,True,True,True,True,False,False,True,False,True,False,False
36531,VFLM 5146,vf:season:3092927,1,vf:season:3092927:1:West Ham:Newcastle,West Ham,Newcastle,1,1,2,1.22,1.6,2.15,1.35,1.8,1.9,True,True,True,False,True,True,True,False,False,True,False
204200,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:WestHam:Brighton,West Ham,Brighton,1,0,1,,,,,,,False,True,False,False,True,True,False,True,True,False,False
204202,VFLM 5146,vf:season:3092927,1,vf:match:season:vflm5146:md:1:Wolverhampton:Newcastle,Wolverhampton,Newcastle,2,1,3,,,,,,,False,True,True,True,False,True,True,False,True,False,False
36546,VFLM 5146,vf:season:3092927,2,vf:season:3092927:2:Aston Villa:Leeds,Aston Villa,Leeds,2,0,2,1.5,2.6,1.45,1.12,2.6,1.45,True,True,True,False,True,True,False,True,True,False,False
204189,VFLM 5146,vf:season:3092927,2,vf:match:season:vflm5146:md:2:Brighton:Leeds,Brighton,Leeds,2,1,3,,,,,,,False,True,True,True,False,True,True,False,True,False,False
36545,VFLM 5146,vf:season:3092927,2,vf:season:3092927:2:Chelsea:London Guns,Chelsea,London Guns,2,0,2,1.2,1.55,2.25,1.5,1.6,2.25,True,True,True,False,True,True,False,True,True,False,False
204194,VFLM 5146,vf:season:3092927,2,vf:match:season:vflm5146:md:2:Everton:LondonGuns,Everton,London Guns,0,1,1,,,,,,,False,True,False,False,True,True,False,True,False,False,True
204191,VFLM 5146,vf:season:3092927,2,vf:match:season:vflm5146:md:2:Fulham:WestHam,Fulham,West Ham,1,3,4,,,,,,,False,True,True,True,False,False,True,False,False,False,True
36542,VFLM 5146,vf:season:3092927,2,vf:season:3092927:2:Fulham:Bournemouth,Fulham,Bournemouth,1,2,3,1.5,2.55,1.45,1.15,2.15,1.6,True,True,True,True,False,True,True,False,False,False,True
36539,VFLM 5146,vf:season:3092927,2,vf:season:3092927:2:Liverpool:Brighton,Liverpool,Brighton,1,0,1,1.25,1.75,1.95,1.3,2.1,1.65,True,True,False,False,True,True,False,True,True,False,False
204190,VFLM 5146,vf:season:3092927,2,vf:match:season:vflm5146:md:2:ManchesterBlue:Chelsea,Manchester Blue,Chelsea,2,1,3,,,,,,,False,True,True,True,False,True,True,False,True,False,False
36544,VFLM 5146,vf:season:3092927,2,vf:season:3092927:2:Manchester Blue:Everton,Manchester Blue,Everton,1,0,1,1.18,1.7,2.0,1.3,1.95,1.75,True,True,False,False,True,True,False,True,True,False,False
204192,VFLM 5146,vf:season:3092927,2,vf:match:season:vflm5146:md:2:ManchesterRed:Liverpool,Manchester Red,Liverpool,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
204195,VFLM 5146,vf:season:3092927,2,vf:match:season:vflm5146:md:2:Newcastle:AstonVilla,Newcastle,Aston Villa,3,2,5,,,,,,,False,True,True,True,False,False,True,False,True,False,False
36540,VFLM 5146,vf:season:3092927,2,vf:season:3092927:2:Newcastle:Manchester Red,Newcastle,Manchester Red,2,2,4,1.35,2.0,1.7,1.22,2.0,1.7,True,True,True,True,False,False,True,False,False,True,False
