matchday_number,home_team,away_team,home_goals,away_goals,o15,o25,u35,gg,ng
1,Bournemouth,Wolverhampton,3,1,,,,,
1,Brighton,Tottenham,1,2,,,,,
1,London Guns,Fulham,2,0,,,,,
1,Crystal Palace,Liverpool,0,2,,,,,
1,Manchester Red,Manchester Blue,5,1,,,,,
1,Leeds,Chelsea,1,2,,,,,
1,Everton,Aston Villa,0,1,,,,,
1,West Ham,Newcastle,1,1,,,,,
2,Manchester Blue,Everton,1,0,,,,,
2,Fulham,Bournemouth,1,2,,,,,
2,Newcastle,Manchester Red,2,2,,,,,
2,Aston Villa,Leeds,2,0,,,,,
2,Chelsea,London Guns,2,0,,,,,
2,Tottenham,West Ham,2,1,,,,,
2,Liverpool,Brighton,1,0,,,,,
2,Wolverhampton,Crystal Palace,5,1,,,,,
3,Bournemouth,Chelsea,1,1,,,,,
3,West Ham,Liverpool,3,1,,,,,
3,Brighton,Crystal Palace,2,3,,,,,
3,Leeds,Manchester Blue,0,0,,,,,
3,Fulham,Wolverhampton,0,3,,,,,
3,Everton,Newcastle,2,1,,,,,
3,Manchester Red,Tottenham,1,0,,,,,
3,London Guns,Aston Villa,2,3,,,,,
4,Tottenham,Everton,0,1,,,,,
4,Chelsea,Fulham,3,0,,,,,
4,Manchester Blue,London Guns,1,0,,,,,
4,Wolverhampton,Brighton,0,0,,,,,
4,Aston Villa,Bournemouth,3,1,,,,,
4,Liverpool,Manchester Red,0,0,,,,,
4,Crystal Palace,West Ham,0,1,,,,,
4,Newcastle,Leeds,0,1,,,,,
5,West Ham,Brighton,0,0,,,,,
5,Leeds,Tottenham,0,3,,,,,
5,Everton,Liverpool,0,2,,,,,
5,Chelsea,Wolverhampton,2,1,,,,,
5,Bournemouth,Manchester Blue,2,3,,,,,
5,Fulham,Aston Villa,0,0,,,,,
5,Manchester Red,Crystal Palace,1,1,,,,,
5,London Guns,Newcastle,2,0,,,,,
6,Aston Villa,Chelsea,1,1,,,,,
6,Liverpool,Leeds,4,0,,,,,
6,Tottenham,London Guns,2,0,,,,,
6,Manchester Blue,Fulham,1,0,,,,,
6,Brighton,Manchester Red,1,1,,,,,
6,Crystal Palace,Everton,3,3,,,,,
6,Newcastle,Bournemouth,2,0,,,,,
6,Wolverhampton,West Ham,1,0,,,,,
7,Aston Villa,Wolverhampton,1,1,,,,,
7,Chelsea,Manchester Blue,2,1,,,,,
7,Everton,Brighton,1,1,,,,,
7,Manchester Red,West Ham,2,1,,,,,
7,London Guns,Liverpool,1,4,,,,,
7,Fulham,Newcastle,1,0,,,,,
7,Bournemouth,Tottenham,0,2,,,,,
7,Leeds,Crystal Palace,0,0,,,,,
8,Newcastle,Chelsea,1,3,,,,,
8,Liverpool,Bournemouth,2,0,,,,,
8,Wolverhampton,Manchester Red,2,1,,,,,
8,Crystal Palace,London Guns,2,1,,,,,
8,Brighton,Leeds,1,1,,,,,
8,West Ham,Everton,1,0,,,,,
8,Manchester Blue,Aston Villa,1,2,,,,,
8,Tottenham,Fulham,4,0,,,,,
9,Aston Villa,Newcastle,2,0,,,,,
9,Everton,Manchester Red,4,1,,,,,
9,Fulham,Liverpool,1,2,,,,,
9,Chelsea,Tottenham,1,0,,,,,
9,Bournemouth,Crystal Palace,1,1,,,,,
9,Manchester Blue,Wolverhampton,3,1,,,,,
9,London Guns,Brighton,1,2,,,,,
9,Leeds,West Ham,1,2,,,,,
10,Wolverhampton,Everton,1,0,,,,,
10,Tottenham,Aston Villa,2,0,,,,,
10,Manchester Red,Leeds,1,0,,,,,
10,Crystal Palace,Fulham,1,1,,,,,
10,West Ham,London Guns,3,2,,,,,
10,Brighton,Bournemouth,1,1,,,,,
10,Liverpool,Chelsea,2,2,,,,,
10,Newcastle,Manchester Blue,0,0,,,,,
11,Leeds,Everton,1,0,,,,,
11,Newcastle,Wolverhampton,0,3,,,,,
11,Fulham,Brighton,0,1,,,,,
11,Bournemouth,West Ham,2,0,,,,,
11,Aston Villa,Liverpool,1,0,,,,,
11,Manchester Blue,Tottenham,1,1,,,,,
11,London Guns,Manchester Red,1,3,,,,,
11,Chelsea,Crystal Palace,3,1,,,,,
12,Manchester Red,Bournemouth,1,0,,,,,
12,Crystal Palace,Aston Villa,1,5,,,,,
12,Tottenham,Newcastle,2,1,,,,,
12,Brighton,Chelsea,3,3,,,,,
12,West Ham,Fulham,3,0,,,,,
12,Liverpool,Manchester Blue,2,0,,,,,
12,Wolverhampton,Leeds,3,1,,,,,
12,Everton,London Guns,0,1,,,,,
13,Chelsea,West Ham,3,1,,,,,
