source_key,season_name,pg_vfl_seasons_id,source
vf:season:vflm4532,VFLM 4532,244642,postgres
vf:season:vflm4533,VFLM 4533,244295,postgres
vf:season:vflm4534,VFLM 4534,243973,postgres
vf:season:vflm4535,VFLM 4535,243611,postgres
vf:season:vflm4536,VFLM 4536,243369,postgres
vf:season:vflm4537,VFLM 4537,243127,postgres
vf:season:vflm4538,VFLM 4538,242887,postgres
vf:season:vflm4539,VFLM 4539,242565,postgres
vf:season:vflm4540,VFLM 4540,242122,postgres
vf:season:vflm4541,VFLM 4541,241670,postgres
vf:season:vflm4542,VFLM 4542,241155,postgres
vf:season:vflm4543,VFLM 4543,240776,postgres
vf:season:vflm4544,VFLM 4544,240535,postgres
vf:season:vflm4545,VFLM 4545,240294,postgres
vf:season:vflm4546,VFLM 4546,240052,postgres
vf:season:vflm4547,VFLM 4547,239778,postgres
vf:season:vflm4548,VFLM 4548,239488,postgres
vf:season:vflm4549,VFLM 4549,239029,postgres
vf:season:vflm4550,VFLM 4550,238522,postgres
vf:season:vflm4551,VFLM 4551,238233,postgres
vf:season:vflm4552,VFLM 4552,237993,postgres
vf:season:vflm4553,VFLM 4553,237751,postgres
vf:season:vflm4554,VFLM 4554,237510,postgres
vf:season:vflm4555,VFLM 4555,237268,postgres
vf:season:vflm4556,VFLM 4556,236994,postgres
vf:season:vflm4557,VFLM 4557,236600,postgres
vf:season:vflm4558,VFLM 4558,236117,postgres
vf:season:vflm4559,VFLM 4559,235698,postgres
vf:season:vflm4560,VFLM 4560,235448,postgres
vf:season:vflm4561,VFLM 4561,235207,postgres
vf:season:vflm4562,VFLM 4562,234965,postgres
vf:season:vflm4563,VFLM 4563,234724,postgres
vf:season:vflm4564,VFLM 4564,234482,postgres
vf:season:vflm4565,VFLM 4565,234240,postgres
vf:season:vflm4566,VFLM 4566,233838,postgres
vf:season:vflm4567,VFLM 4567,233516,postgres
vf:season:vflm4568,VFLM 4568,233122,postgres
vf:season:vflm4569,VFLM 4569,232672,postgres
vf:season:vflm4570,VFLM 4570,232390,postgres
vf:season:vflm4571,VFLM 4571,232148,postgres
vf:season:vflm4572,VFLM 4572,231899,postgres
vf:season:vflm4573,VFLM 4573,231657,postgres
vf:season:vflm4574,VFLM 4574,231416,postgres
vf:season:vflm4575,VFLM 4575,231174,postgres
vf:season:vflm4576,VFLM 4576,230932,postgres
vf:season:vflm4577,VFLM 4577,230691,postgres
vf:season:vflm4578,VFLM 4578,230449,postgres
vf:season:vflm4579,VFLM 4579,230047,postgres
vf:season:vflm4580,VFLM 4580,229612,postgres
vf:season:vflm4581,VFLM 4581,229290,postgres
vf:season:vflm4582,VFLM 4582,228855,postgres
vf:season:vflm4583,VFLM 4583,228373,postgres
vf:season:vflm4584,VFLM 4584,228132,postgres
vf:season:vflm4585,VFLM 4585,227890,postgres
vf:season:vflm4586,VFLM 4586,227649,postgres
vf:season:vflm4587,VFLM 4587,227407,postgres
vf:season:vflm4588,VFLM 4588,227166,postgres
vf:season:vflm4589,VFLM 4589,226916,postgres
vf:season:vflm4590,VFLM 4590,226675,postgres
vf:season:vflm4591,VFLM 4591,226433,postgres
vf:season:vflm4592,VFLM 4592,226192,postgres
vf:season:vflm4593,VFLM 4593,225934,postgres
vf:season:vflm4594,VFLM 4594,225669,postgres
vf:season:vflm4595,VFLM 4595,225186,postgres
vf:season:vflm4596,VFLM 4596,224703,postgres
vf:season:vflm4597,VFLM 4597,224413,postgres
vf:season:vflm4598,VFLM 4598,224171,postgres
vf:season:vflm4599,VFLM 4599,223930,postgres
vf:season:vflm4600,VFLM 4600,223690,postgres
vf:season:vflm4601,VFLM 4601,223448,postgres
vf:season:vflm4602,VFLM 4602,223159,postgres
vf:season:vflm4603,VFLM 4603,222692,postgres
vf:season:vflm4604,VFLM 4604,222257,postgres
vf:season:vflm4605,VFLM 4605,222015,postgres
vf:season:vflm4606,VFLM 4606,221774,postgres
vf:season:vflm4607,VFLM 4607,221532,postgres
vf:season:vflm4608,VFLM 4608,221291,postgres
vf:season:vflm4609,VFLM 4609,221025,postgres
vf:season:vflm4610,VFLM 4610,220735,postgres
vf:season:vflm4611,VFLM 4611,220276,postgres
vf:season:vflm4612,VFLM 4612,219946,postgres
vf:season:vflm4613,VFLM 4613,219697,postgres
vf:season:vflm4614,VFLM 4614,219456,postgres
vf:season:vflm4615,VFLM 4615,219214,postgres
vf:season:vflm4616,VFLM 4616,218973,postgres
vf:season:vflm4617,VFLM 4617,218708,postgres
vf:season:vflm4618,VFLM 4618,218249,postgres
vf:season:vflm4619,VFLM 4619,217814,postgres
vf:season:vflm4620,VFLM 4620,217355,postgres
vf:season:vflm4621,VFLM 4621,217066,postgres
vf:season:vflm4622,VFLM 4622,216824,postgres
vf:season:vflm4623,VFLM 4623,216583,postgres
vf:season:vflm4624,VFLM 4624,216341,postgres
vf:season:vflm4625,VFLM 4625,216067,postgres
vf:season:vflm4626,VFLM 4626,215689,postgres
vf:season:vflm4627,VFLM 4627,215206,postgres
vf:season:vflm4628,VFLM 4628,214924,postgres
vf:season:vflm4629,VFLM 4629,214683,postgres
vf:season:vflm4630,VFLM 4630,214441,postgres
vf:season:vflm4631,VFLM 4631,214200,postgres
vf:season:vflm4632,VFLM 4632,213839,postgres
vf:season:vflm4633,VFLM 4633,213364,postgres
vf:season:vflm4634,VFLM 4634,212921,postgres
vf:season:vflm4635,VFLM 4635,212679,postgres
vf:season:vflm4636,VFLM 4636,212438,postgres
vf:season:vflm4637,VFLM 4637,212196,postgres
vf:season:vflm4638,VFLM 4638,211955,postgres
vf:season:vflm4639,VFLM 4639,211714,postgres
vf:season:vflm4640,VFLM 4640,211472,postgres
vf:season:vflm4641,VFLM 4641,211062,postgres
vf:season:vflm4642,VFLM 4642,210578,postgres
vf:season:vflm4643,VFLM 4643,210175,postgres
vf:season:vflm4644,VFLM 4644,209886,postgres
vf:season:vflm4645,VFLM 4645,209685,postgres
vf:season:vflm4646,VFLM 4646,209467,postgres
vf:season:vflm4647,VFLM 4647,209233,postgres
vf:season:vflm4648,VFLM 4648,208981,postgres
vf:season:vflm4649,VFLM 4649,208570,postgres
vf:season:vflm4650,VFLM 4650,208206,postgres
vf:season:vflm4651,VFLM 4651,207998,postgres
vf:season:vflm4652,VFLM 4652,207757,postgres
vf:season:vflm4653,VFLM 4653,207516,postgres
vf:season:vflm4654,VFLM 4654,207250,postgres
vf:season:vflm4655,VFLM 4655,206872,postgres
vf:season:vflm4656,VFLM 4656,206397,postgres
vf:season:vflm4657,VFLM 4657,205914,postgres
vf:season:vflm4658,VFLM 4658,205431,postgres
vf:season:vflm4659,VFLM 4659,205116,postgres
vf:season:vflm4660,VFLM 4660,204875,postgres
vf:season:vflm4661,VFLM 4661,204634,postgres
vf:season:vflm4662,VFLM 4662,204393,postgres
vf:season:vflm4663,VFLM 4663,204152,postgres
vf:season:vflm4664,VFLM 4664,203902,postgres
vf:season:vflm4665,VFLM 4665,203604,postgres
vf:season:vflm4666,VFLM 4666,203242,postgres
vf:season:vflm4667,VFLM 4667,202807,postgres
vf:season:vflm4668,VFLM 4668,202333,postgres
vf:season:vflm4669,VFLM 4669,202067,postgres
vf:season:vflm4670,VFLM 4670,201825,postgres
vf:season:vflm4671,VFLM 4671,201584,postgres
vf:season:vflm4672,VFLM 4672,201342,postgres
vf:season:vflm4673,VFLM 4673,201101,postgres
vf:season:vflm4674,VFLM 4674,200787,postgres
vf:season:vflm4675,VFLM 4675,200320,postgres
vf:season:vflm4676,VFLM 4676,199861,postgres
vf:season:vflm4677,VFLM 4677,199557,postgres
vf:season:vflm4678,VFLM 4678,199315,postgres
vf:season:vflm4679,VFLM 4679,199074,postgres
vf:season:vflm4680,VFLM 4680,198832,postgres
vf:season:vflm4681,VFLM 4681,198591,postgres
vf:season:vflm4682,VFLM 4682,198140,postgres
vf:season:vflm4683,VFLM 4683,197648,postgres
vf:season:vflm4684,VFLM 4684,197270,postgres
vf:season:vflm4685,VFLM 4685,196996,postgres
vf:season:vflm4686,VFLM 4686,196758,postgres
vf:season:vflm4687,VFLM 4687,196517,postgres
vf:season:vflm4688,VFLM 4688,196275,postgres
vf:season:vflm4689,VFLM 4689,196033,postgres
vf:season:vflm4690,VFLM 4690,195792,postgres
vf:season:vflm4691,VFLM 4691,195550,postgres
vf:season:vflm4692,VFLM 4692,195309,postgres
vf:season:vflm4693,VFLM 4693,195067,postgres
vf:season:vflm4694,VFLM 4694,194691,postgres
vf:season:vflm4695,VFLM 4695,194224,postgres
vf:season:vflm4696,VFLM 4696,193894,postgres
vf:season:vflm4697,VFLM 4697,193652,postgres
vf:season:vflm4698,VFLM 4698,193403,postgres
vf:season:vflm4699,VFLM 4699,193161,postgres
vf:season:vflm4700,VFLM 4700,192919,postgres
vf:season:vflm4701,VFLM 4701,192678,postgres
vf:season:vflm4702,VFLM 4702,192436,postgres
vf:season:vflm4703,VFLM 4703,192195,postgres
vf:season:vflm4704,VFLM 4704,191953,postgres
