matchday,trap_type,h_rank,a_rank,h_points,a_points,h_gd,a_gd,h_gs,a_gs,h_gc,a_gc,won
9,GRAVITY_AWAY_DOG,6,15,12,5,4,-6,13,8,9,14,True
10,GRAVITY_HOME_DOG,16,4,5,17,-9,7,8,17,17,10,False
14,GRAVITY_HOME_DOG,13,4,13,24,-13,11,11,25,24,14,True
19,GRAVITY_AWAY_DOG,2,16,35,12,15,-11,28,9,13,20,True
20,GRAVITY_HOME_DOG,16,5,12,32,-12,20,10,44,22,24,True
21,GRAVITY_AWAY_DOG,14,16,19,12,-15,-15,17,10,32,25,False
6,GRAVITY_AWAY_DOG,9,13,5,3,-1,-4,3,3,4,7,True
7,GRAVITY_HOME_DOG,13,14,3,3,-6,-7,3,4,9,11,True
8,GRAVITY_AWAY_DOG,11,15,7,3,1,-7,10,3,9,10,False
13,GRAVITY_AWAY_DOG,2,16,27,6,13,-12,29,7,16,19,False
22,GRAVITY_HOME_DOG,14,16,18,13,-15,-19,18,18,33,37,True
23,GRAVITY_HOME_DOG,13,12,24,25,-7,-10,22,24,29,34,False
23,GRAVITY_AWAY_DOG,7,14,30,18,0,-16,26,19,26,35,True
24,GRAVITY_HOME_DOG,14,1,18,47,-18,28,20,46,38,18,False
28,GRAVITY_AWAY_DOG,5,13,46,25,3,-14,38,25,35,39,False
6,GRAVITY_HOME_DOG,16,15,1,3,-7,-3,2,3,9,6,True
11,GRAVITY_HOME_DOG,16,10,2,13,-13,-4,6,11,19,15,True
13,GRAVITY_HOME_DOG,15,13,8,11,-15,-6,10,13,25,19,True
14,GRAVITY_AWAY_DOG,10,16,16,8,2,-18,16,10,14,28,False
16,GRAVITY_HOME_DOG,15,4,11,28,-6,11,15,23,21,12,True
28,GRAVITY_AWAY_DOG,5,14,48,25,9,-10,39,27,30,37,True
29,GRAVITY_HOME_DOG,15,2,25,53,-11,21,27,43,38,22,True
12,GRAVITY_AWAY_DOG,9,15,15,7,3,-8,12,9,9,17,True
13,GRAVITY_HOME_DOG,16,9,7,16,-10,1,9,15,19,14,True
14,GRAVITY_AWAY_DOG,14,16,11,7,-6,-11,11,10,17,21,True
22,GRAVITY_HOME_DOG,15,7,14,33,-19,11,18,28,37,17,False
11,GRAVITY_HOME_DOG,13,4,8,17,-12,9,7,18,19,9,True
11,GRAVITY_AWAY_DOG,14,16,7,5,-13,-8,8,3,21,11,True
12,GRAVITY_HOME_DOG,16,15,5,8,-9,-14,4,8,13,22,True
18,GRAVITY_HOME_DOG,16,2,11,34,-15,12,10,25,25,13,True
19,CRUSHER_AWAY_FAV,15,4,12,34,-20,20,14,33,34,13,False
19,GRAVITY_AWAY_DOG,12,16,16,11,-11,-16,19,10,30,26,True
20,GRAVITY_HOME_DOG,16,11,11,21,-18,-8,10,21,28,29,True
22,GRAVITY_HOME_DOG,15,12,13,19,-15,-11,13,23,28,34,True
23,GRAVITY_AWAY_DOG,7,16,28,13,-6,-17,25,13,31,30,True
24,GRAVITY_HOME_DOG,16,14,13,19,-19,-20,13,18,32,38,False
6,GRAVITY_HOME_DOG,13,8,3,7,-4,-1,6,8,10,9,True
7,GRAVITY_AWAY_DOG,10,13,8,3,1,-5,7,7,6,12,True
8,CRUSHER_AWAY_FAV,15,3,2,13,-8,5,3,15,11,10,False
25,GRAVITY_HOME_DOG,16,15,16,18,-19,-18,14,19,33,37,False
30,GRAVITY_HOME_DOG,16,9,18,36,-28,-9,19,28,47,37,False
11,GRAVITY_AWAY_DOG,10,16,10,7,-3,-15,10,6,13,21,True
12,GRAVITY_HOME_DOG,16,10,7,11,-16,-5,6,14,22,19,True
13,GRAVITY_AWAY_DOG,4,16,23,7,3,-18,12,6,9,24,True
14,GRAVITY_HOME_DOG,16,12,7,12,-19,-8,6,14,25,22,True
18,GRAVITY_HOME_DOG,15,3,12,33,-18,17,8,28,26,11,True
19,GRAVITY_AWAY_DOG,7,16,27,12,4,-22,26,9,22,31,True
20,GRAVITY_HOME_DOG,16,2,12,38,-25,21,9,42,34,21,True
23,GRAVITY_AWAY_DOG,8,16,28,12,3,-26,25,9,22,35,True
24,GRAVITY_HOME_DOG,16,4,12,38,-30,20,9,42,39,22,True
25,GRAVITY_AWAY_DOG,10,16,24,12,-7,-31,31,9,38,40,True
26,GRAVITY_HOME_DOG,16,1,12,50,-34,20,10,35,44,15,True
27,GRAVITY_AWAY_DOG,8,16,33,12,3,-36,28,10,25,46,True
28,GRAVITY_HOME_DOG,16,10,12,32,-37,0,10,33,47,33,False
28,GRAVITY_AWAY_DOG,5,15,44,18,14,-28,39,26,25,54,True
29,GRAVITY_HOME_DOG,15,14,18,19,-29,-27,27,17,56,44,False
30,GRAVITY_AWAY_DOG,5,15,50,19,16,-28,43,17,27,45,False
16,CRUSHER_HOME_FAV,2,15,31,10,9,-16,23,9,14,25,True
17,GRAVITY_HOME_DOG,16,9,10,21,-19,0,9,26,28,26,True
18,GRAVITY_AWAY_DOG,10,16,23,10,-2,-21,19,10,21,31,True
19,GRAVITY_HOME_DOG,16,6,10,29,-23,9,10,28,33,19,True
20,GRAVITY_AWAY_DOG,10,16,25,10,-5,-25,31,10,36,35,True
21,GRAVITY_HOME_DOG,16,12,10,19,-26,-7,10,21,36,28,True
28,GRAVITY_AWAY_DOG,4,16,48,14,17,-33,40,14,23,47,True
29,GRAVITY_HOME_DOG,16,12,14,27,-34,-13,14,31,48,44,True
30,GRAVITY_HOME_DOG,16,13,14,26,-35,-8,14,31,49,39,False
8,GRAVITY_AWAY_DOG,5,16,13,2,5,-8,10,4,5,12,True
9,GRAVITY_HOME_DOG,16,9,2,11,-11,-2,4,6,15,8,True
10,GRAVITY_AWAY_DOG,4,16,17,2,9,-14,17,5,8,19,True
13,GRAVITY_HOME_DOG,15,8,5,17,-13,0,9,15,22,15,True
20,GRAVITY_HOME_DOG,14,1,17,38,-19,17,16,33,35,16,True
24,GRAVITY_AWAY_DOG,8,14,31,20,-2,-6,32,24,34,30,True
27,GRAVITY_HOME_DOG,16,14,17,24,-25,-8,22,29,47,37,True
28,GRAVITY_AWAY_DOG,5,16,46,17,22,-27,49,22,27,49,True
29,GRAVITY_HOME_DOG,16,8,17,36,-30,-1,23,31,53,32,True
8,GRAVITY_AWAY_DOG,12,13,7,7,-3,-5,4,8,7,13,True
12,GRAVITY_AWAY_DOG,16,13,2,7,-6,-6,6,10,12,16,False
18,GRAVITY_HOME_DOG,13,15,13,10,-13,-9,9,11,22,20,False
21,GRAVITY_HOME_DOG,16,5,10,30,-14,9,12,25,26,16,False
25,GRAVITY_HOME_DOG,16,15,13,14,-32,-15,13,17,45,32,True
26,GRAVITY_AWAY_DOG,10,16,26,13,-4,-34,22,13,26,47,True
27,GRAVITY_HOME_DOG,16,12,13,23,-35,-2,13,26,48,28,True
28,GRAVITY_AWAY_DOG,1,16,51,13,21,-36,47,13,26,49,True
29,GRAVITY_HOME_DOG,16,8,13,34,-39,0,13,26,52,26,True
30,GRAVITY_AWAY_DOG,12,16,28,13,-9,-43,26,13,35,56,True
12,CRUSHER_AWAY_FAV,16,1,3,17,-8,4,5,16,13,12,True
13,GRAVITY_AWAY_DOG,11,16,10,3,-2,-11,11,5,13,16,True
14,GRAVITY_HOME_DOG,16,5,3,17,-13,4,5,18,18,14,True
15,GRAVITY_AWAY_DOG,14,16,10,3,-7,-14,14,6,21,20,False
18,GRAVITY_HOME_DOG,15,11,10,17,-11,-3,16,14,27,17,True
20,GRAVITY_HOME_DOG,15,9,10,20,-13,2,17,20,30,18,True
21,GRAVITY_AWAY_DOG,1,15,31,10,11,-14,32,17,21,31,True
22,GRAVITY_AWAY_DOG,14,15,17,10,-1,-19,17,17,18,36,True
23,GRAVITY_AWAY_DOG,16,14,11,18,-19,-17,18,14,37,31,False
27,GRAVITY_HOME_DOG,16,5,11,38,-24,6,23,31,47,25,False
10,CRUSHER_AWAY_FAV,16,1,4,24,-10,16,2,23,12,7,True
11,GRAVITY_AWAY_DOG,12,16,10,4,-9,-12,9,2,18,14,False
11,GRAVITY_HOME_DOG,13,5,9,17,-11,0,9,13,20,13,True
12,GRAVITY_AWAY_DOG,9,13,12,9,-2,-14,12,10,14,24,True
13,GRAVITY_HOME_DOG,14,15,9,7,-16,-14,10,4,26,18,False
14,GRAVITY_AWAY_DOG,16,14,6,10,-14,-13,6,11,20,24,False
15,GRAVITY_AWAY_DOG,11,14,13,11,-11,-8,14,12,25,20,True
16,GRAVITY_AWAY_DOG,7,14,23,11,5,-10,22,12,17,22,False
16,GRAVITY_AWAY_DOG,11,16,16,6,-10,-17,17,8,27,25,True
23,GRAVITY_AWAY_DOG,6,14,38,18,18,-14,43,18,25,32,True
24,GRAVITY_HOME_DOG,14,1,18,59,-15,37,20,50,35,13,True
24,CRUSHER_AWAY_FAV,16,4,10,42,-25,8,12,34,37,26,False
13,GRAVITY_AWAY_DOG,3,16,22,7,6,-11,20,10,14,21,True
14,GRAVITY_HOME_DOG,16,2,7,29,-13,16,10,25,23,9,True
15,GRAVITY_HOME_DOG,16,14,7,12,-15,-12,11,11,26,23,False
17,GRAVITY_HOME_DOG,16,13,11,13,-21,-9,18,18,39,27,True
18,GRAVITY_AWAY_DOG,15,16,13,11,-14,-25,12,18,26,43,True
23,GRAVITY_HOME_DOG,13,15,20,18,-8,-15,15,14,23,29,True
26,CRUSHER_AWAY_FAV,16,1,19,54,-26,28,22,45,48,17,False
28,GRAVITY_HOME_DOG,14,3,22,51,-16,18,26,48,42,30,True
29,GRAVITY_AWAY_DOG,1,14,58,22,27,-17,51,28,24,45,True
30,CRUSHER_AWAY_FAV,13,1,23,61,-21,28,18,52,39,24,False
