event_id,season_name,home_team,away_team,E_total_blend,actual_total,abs_err,o25_lean,o25_correct,stake_odds,pnl_unit,top1_scoreline,actual_scoreline,top1_hit,top3_hit
vf:match:1404291900,VFLM 5404,London Guns,Crystal Palace,3.04,3,0.040000000000000036,Under 2.5,False,2.15,-1.0,1:1,1:2,False,True
vf:match:1404291899,VFLM 5404,Manchester Blue,Chelsea,3.1,2,1.1,Under 2.5,True,2.5,1.5,1:1,1:1,True,True
vf:match:1404291898,VFLM 5404,Wolverhampton,Bournemouth,3.03,3,0.029999999999999805,Under 2.5,False,2.15,-1.0,1:1,3:0,False,False
vf:match:1404291897,VFLM 5404,West Ham,Everton,2.33,1,1.33,Under 2.5,True,1.6,0.6000000000000001,1:1,0:1,False,True
vf:match:1404291896,VFLM 5404,Newcastle,Leeds,2.28,3,0.7200000000000002,Under 2.5,False,1.45,-1.0,1:1,2:1,False,False
vf:match:1404291895,VFLM 5404,Aston Villa,Brighton,2.35,2,0.3500000000000001,Under 2.5,True,1.5,0.5,1:1,2:0,False,False
vf:match:1404291894,VFLM 5404,Fulham,Tottenham,2.36,3,0.6400000000000001,Under 2.5,False,1.65,-1.0,1:1,0:3,False,False
vf:match:1404291893,VFLM 5404,Manchester Red,Liverpool,2.72,1,1.7200000000000002,Under 2.5,True,1.75,0.75,1:1,1:0,False,True
vf:match:1404291892,VFLM 5404,Liverpool,Wolverhampton,2.87,0,2.87,Under 2.5,True,2.5,1.5,1:1,0:0,False,False
vf:match:1404291891,VFLM 5404,Chelsea,West Ham,3.05,6,2.95,Under 2.5,False,2.25,-1.0,1:1,5:1,False,False
vf:match:1404291890,VFLM 5404,Bournemouth,Fulham,2.0,0,2.0,Under 2.5,True,1.4,0.3999999999999999,1:0,0:0,False,True
vf:match:1404291889,VFLM 5404,Brighton,Manchester Red,2.6,4,1.4,Under 2.5,False,1.65,-1.0,1:1,1:3,False,False
vf:match:1404291888,VFLM 5404,Newcastle,Aston Villa,2.4,3,0.6000000000000001,Under 2.5,False,1.6,-1.0,1:1,0:3,False,False
vf:match:1404291887,VFLM 5404,Crystal Palace,Manchester Blue,3.14,2,1.1400000000000001,Under 2.5,True,2.15,1.15,1:1,0:2,False,False
vf:match:1404291886,VFLM 5404,Tottenham,London Guns,2.76,3,0.2400000000000002,Under 2.5,False,2.1,-1.0,1:1,2:1,False,True
vf:match:1404291885,VFLM 5404,Leeds,Everton,1.64,3,1.36,Under 2.5,False,1.25,-1.0,0:0,2:1,False,False
vf:match:1404291884,VFLM 5404,Manchester Blue,Tottenham,3.21,3,0.20999999999999996,Under 2.5,False,2.3,-1.0,1:1,2:1,False,True
vf:match:1404291883,VFLM 5404,London Guns,Bournemouth,2.69,3,0.31000000000000005,Under 2.5,False,2.2,-1.0,1:1,3:0,False,False
vf:match:1404291882,VFLM 5404,Manchester Red,Newcastle,2.76,5,2.24,Under 2.5,False,1.95,-1.0,1:1,2:3,False,False
vf:match:1404291881,VFLM 5404,Fulham,Liverpool,2.31,1,1.31,Under 2.5,True,1.5,0.5,1:1,0:1,False,True
vf:match:1404291880,VFLM 5404,Everton,Chelsea,2.46,3,0.54,Under 2.5,False,1.6,-1.0,1:1,2:1,False,False
vf:match:1404291879,VFLM 5404,West Ham,Crystal Palace,2.73,0,2.73,Under 2.5,True,2.05,1.0499999999999998,1:1,0:0,False,False
vf:match:1404291878,VFLM 5404,Wolverhampton,Brighton,2.85,1,1.85,Under 2.5,True,2.15,1.15,1:1,1:0,False,True
vf:match:1404291877,VFLM 5404,Aston Villa,Leeds,2.04,0,2.04,Under 2.5,True,1.4,0.3999999999999999,1:0,0:0,False,True
vf:match:1404291876,VFLM 5404,Brighton,Fulham,2.04,1,1.04,Under 2.5,True,1.55,0.55,1:0,1:0,True,True
vf:match:1404291875,VFLM 5404,Bournemouth,Manchester Blue,2.95,2,0.9500000000000002,Under 2.5,True,2.1,1.1,1:1,1:1,True,True
vf:match:1404291874,VFLM 5404,Aston Villa,Manchester Red,2.16,5,2.84,Under 2.5,False,1.6,-1.0,1:1,4:1,False,False
vf:match:1404291873,VFLM 5404,Liverpool,London Guns,2.99,2,0.9900000000000002,Under 2.5,True,2.05,1.0499999999999998,1:1,1:1,True,True
vf:match:1404291872,VFLM 5404,Tottenham,West Ham,2.73,4,1.27,Under 2.5,False,2.1,-1.0,1:1,3:1,False,False
vf:match:1404291871,VFLM 5404,Leeds,Chelsea,2.41,0,2.41,Under 2.5,True,1.55,0.55,1:1,0:0,False,False
vf:match:1404291870,VFLM 5404,Newcastle,Wolverhampton,3.02,2,1.02,Under 2.5,True,2.2,1.2000000000000002,1:1,1:1,True,True
vf:match:1404291869,VFLM 5404,Crystal Palace,Everton,2.14,0,2.14,Under 2.5,True,1.55,0.55,1:1,0:0,False,False
vf:match:1404291868,VFLM 5404,West Ham,Bournemouth,2.6,3,0.3999999999999999,Under 2.5,False,1.9,-1.0,1:1,2:1,False,False
vf:match:1404291867,VFLM 5404,Chelsea,Crystal Palace,2.78,3,0.2200000000000002,Under 2.5,False,2.45,-1.0,1:1,2:1,False,True
vf:match:1404291866,VFLM 5404,Manchester Blue,Liverpool,2.97,6,3.03,Under 2.5,False,2.4,-1.0,1:1,2:4,False,False
vf:match:1404291865,VFLM 5404,Everton,Tottenham,2.42,5,2.58,Under 2.5,False,1.45,-1.0,1:1,4:1,False,False
vf:match:1404291864,VFLM 5404,London Guns,Brighton,2.56,1,1.56,Under 2.5,True,2.15,1.15,1:1,0:1,False,True
vf:match:1404291863,VFLM 5404,Manchester Red,Leeds,2.31,2,0.31000000000000005,Under 2.5,True,1.55,0.55,1:1,2:0,False,False
vf:match:1404291862,VFLM 5404,Fulham,Newcastle,2.09,0,2.09,Under 2.5,True,1.6,0.6000000000000001,1:1,0:0,False,False
vf:match:1404291861,VFLM 5404,Wolverhampton,Aston Villa,2.79,4,1.21,Under 2.5,False,1.9,-1.0,1:1,2:2,False,False
vf:match:1404291860,VFLM 5404,Newcastle,London Guns,2.87,3,0.1299999999999999,Under 2.5,False,1.9,-1.0,1:1,2:1,False,True
vf:match:1404291859,VFLM 5404,Aston Villa,Fulham,2.28,4,1.7200000000000002,Under 2.5,False,1.5,-1.0,1:1,4:0,False,False
vf:match:1404291858,VFLM 5404,Leeds,Crystal Palace,2.11,1,1.1099999999999999,Under 2.5,True,1.45,0.44999999999999996,1:1,1:0,False,True
vf:match:1404291857,VFLM 5404,Brighton,Manchester Blue,2.92,2,0.9199999999999999,Under 2.5,True,2.1,1.1,1:1,1:1,True,True
vf:match:1404291856,VFLM 5404,Manchester Red,Wolverhampton,3.06,4,0.94,Under 2.5,False,2.05,-1.0,1:1,4:0,False,False
vf:match:1404291855,VFLM 5404,Bournemouth,Everton,1.99,1,0.99,Under 2.5,True,1.4,0.3999999999999999,1:0,0:1,False,False
vf:match:1404291854,VFLM 5404,Tottenham,Chelsea,2.79,4,1.21,Under 2.5,False,2.15,-1.0,1:1,2:2,False,False
vf:match:1404291853,VFLM 5404,Liverpool,West Ham,2.61,3,0.3900000000000001,Under 2.5,False,2.15,-1.0,1:1,3:0,False,False
vf:match:1404291852,VFLM 5404,Everton,Liverpool,2.17,1,1.17,Under 2.5,True,1.5,0.5,1:1,1:0,False,True
vf:match:1404291851,VFLM 5404,Manchester Blue,Newcastle,3.07,3,0.06999999999999984,Under 2.5,False,2.15,-1.0,1:1,3:0,False,False
vf:match:1404291850,VFLM 5404,Chelsea,Bournemouth,2.56,3,0.43999999999999995,Under 2.5,False,2.3,-1.0,1:1,3:0,False,False
vf:match:1404291849,VFLM 5404,London Guns,Aston Villa,2.25,2,0.25,Under 2.5,True,1.85,0.8500000000000001,1:1,1:1,True,True
vf:match:1404291848,VFLM 5404,Crystal Palace,Tottenham,2.85,5,2.15,Under 2.5,False,1.85,-1.0,1:1,3:2,False,False
vf:match:1404291847,VFLM 5404,Fulham,Manchester Red,2.32,2,0.31999999999999984,Under 2.5,True,1.45,0.44999999999999996,1:1,0:2,False,False
vf:match:1404291846,VFLM 5404,Wolverhampton,Leeds,2.39,4,1.6099999999999999,Under 2.5,False,1.6,-1.0,1:1,4:0,False,False
vf:match:1404291845,VFLM 5404,West Ham,Brighton,2.53,6,3.47,Under 2.5,False,1.7,-1.0,1:1,2:4,False,False
vf:match:1404291844,VFLM 5404,Aston Villa,Manchester Blue,2.75,1,1.75,Under 2.5,True,1.85,0.8500000000000001,1:1,1:0,False,True
vf:match:1404291843,VFLM 5404,Brighton,Everton,2.06,2,0.06000000000000005,Under 2.5,True,1.45,0.44999999999999996,1:0,1:1,False,True
vf:match:1404291842,VFLM 5404,Bournemouth,Crystal Palace,2.5,3,0.5,Under 2.5,False,1.6,-1.0,1:1,2:1,False,False
vf:match:1404291841,VFLM 5404,Wolverhampton,Fulham,2.52,1,1.52,Under 2.5,True,1.8,0.8,1:1,0:1,False,True
vf:match:1404291840,VFLM 5404,Liverpool,Chelsea,2.74,2,0.7400000000000002,Under 2.5,True,2.0,1.0,1:1,1:1,True,True
vf:match:1404291839,VFLM 5404,Newcastle,West Ham,2.89,3,0.10999999999999988,Under 2.5,False,2.05,-1.0,1:1,3:0,False,False
vf:match:1404291838,VFLM 5404,Leeds,Tottenham,2.04,1,1.04,Under 2.5,True,1.4,0.3999999999999999,1:0,0:1,False,False
vf:match:1404291837,VFLM 5404,Manchester Red,London Guns,2.95,2,0.9500000000000002,Under 2.5,True,2.05,1.0499999999999998,1:1,2:0,False,False
vf:match:1404291836,VFLM 5404,Chelsea,Brighton,2.8,3,0.20000000000000018,Under 2.5,False,1.9,-1.0,1:1,1:2,False,False
vf:match:1404291835,VFLM 5404,London Guns,Wolverhampton,3.03,2,1.0299999999999998,Under 2.5,True,2.55,1.5499999999999998,1:1,2:0,False,False
vf:match:1404291834,VFLM 5404,Fulham,Leeds,1.72,3,1.28,Under 2.5,False,1.3,-1.0,0:0,2:1,False,False
vf:match:1404291833,VFLM 5404,Tottenham,Bournemouth,2.5,1,1.5,Under 2.5,True,2.0,1.0,1:1,0:1,False,True
vf:match:1404291832,VFLM 5404,Manchester Blue,Manchester Red,2.68,0,2.68,Under 2.5,True,2.25,1.25,1:1,0:0,False,False
vf:match:1404291831,VFLM 5404,Everton,Newcastle,2.01,1,1.0099999999999998,Under 2.5,True,1.5,0.5,1:0,0:1,False,False
vf:match:1404291830,VFLM 5404,West Ham,Aston Villa,2.44,3,0.56,Under 2.5,False,1.7,-1.0,1:1,1:2,False,False
vf:match:1404291829,VFLM 5404,Crystal Palace,Liverpool,2.83,2,0.8300000000000001,Under 2.5,True,2.0,1.0,1:1,0:2,False,False
vf:match:1404287352,VFLM 5403,Manchester Red,Wolverhampton,3.06,4,0.94,Under 2.5,False,2.05,-1.0,1:1,3:1,False,False
vf:match:1404287351,VFLM 5403,Bournemouth,Aston Villa,2.33,4,1.67,Under 2.5,False,1.6,-1.0,1:1,4:0,False,False
vf:match:1404287350,VFLM 5403,Liverpool,Fulham,2.31,3,0.69,Under 2.5,False,1.85,-1.0,1:1,2:1,False,False
vf:match:1404287349,VFLM 5403,London Guns,Leeds,2.32,1,1.3199999999999998,Under 2.5,True,1.75,0.75,1:1,0:1,False,True
vf:match:1404287348,VFLM 5403,Crystal Palace,West Ham,2.73,3,0.27,Under 2.5,False,2.05,-1.0,1:1,0:3,False,False
vf:match:1404287347,VFLM 5403,Everton,Newcastle,2.01,0,2.01,Under 2.5,True,1.5,0.5,1:0,0:0,False,True
vf:match:1404287346,VFLM 5403,Chelsea,Brighton,2.8,3,0.20000000000000018,Under 2.5,False,1.9,-1.0,1:1,2:1,False,True
vf:match:1404287345,VFLM 5403,Tottenham,Manchester Blue,3.21,5,1.79,Under 2.5,False,2.2,-1.0,1:1,3:2,False,False
vf:match:1404287344,VFLM 5403,Leeds,Crystal Palace,2.11,0,2.11,Under 2.5,True,1.45,0.44999999999999996,1:1,0:0,False,False
vf:match:1404287343,VFLM 5403,Fulham,Chelsea,2.64,0,2.64,Under 2.5,True,1.75,0.75,1:1,0:0,False,False
vf:match:1404287342,VFLM 5403,Wolverhampton,Everton,2.38,0,2.38,Under 2.5,True,1.65,0.6499999999999999,1:1,0:0,False,False
vf:match:1404287341,VFLM 5403,Manchester Blue,Aston Villa,2.75,0,2.75,Under 2.5,True,2.0,1.0,1:1,0:0,False,False
vf:match:1404287340,VFLM 5403,Liverpool,Bournemouth,2.78,0,2.78,Under 2.5,True,2.1,1.1,1:1,0:0,False,False
vf:match:1404287339,VFLM 5403,Brighton,London Guns,2.56,0,2.56,Under 2.5,True,1.85,0.8500000000000001,1:1,0:0,False,False
vf:match:1404287338,VFLM 5403,Newcastle,Tottenham,2.56,0,2.56,Under 2.5,True,1.9,0.8999999999999999,1:1,0:0,False,False
vf:match:1404287337,VFLM 5403,West Ham,Manchester Red,2.7,0,2.7,Under 2.5,True,1.8,0.8,1:1,0:0,False,False
vf:match:1404287336,VFLM 5403,Crystal Palace,Brighton,2.78,5,2.22,Under 2.5,False,1.7,-1.0,1:1,3:2,False,False
vf:match:1404287335,VFLM 5403,Aston Villa,Newcastle,2.4,5,2.6,Under 2.5,False,1.8,-1.0,1:1,5:0,False,False
vf:match:1404287334,VFLM 5403,Everton,West Ham,2.33,3,0.6699999999999999,Under 2.5,False,1.5,-1.0,1:1,3:0,False,False
vf:match:1404287333,VFLM 5403,Chelsea,Liverpool,2.74,3,0.2599999999999998,Under 2.5,False,2.0,-1.0,1:1,3:0,False,False
vf:match:1404287332,VFLM 5403,Bournemouth,Manchester Blue,2.95,0,2.95,Under 2.5,True,2.05,1.0499999999999998,1:1,0:0,False,False
vf:match:1404287331,VFLM 5403,Manchester Red,Leeds,2.31,1,1.31,Under 2.5,True,1.55,0.55,1:1,1:0,False,True
vf:match:1404287330,VFLM 5403,Tottenham,Wolverhampton,2.99,3,0.009999999999999787,Under 2.5,False,2.3,-1.0,1:1,1:2,False,True
vf:match:1404287329,VFLM 5403,London Guns,Fulham,2.57,4,1.4300000000000002,Under 2.5,False,1.85,-1.0,1:1,2:2,False,False
vf:match:1404287328,VFLM 5403,West Ham,Tottenham,2.73,2,0.73,Under 2.5,True,2.05,1.0499999999999998,1:1,2:0,False,False
vf:match:1404287327,VFLM 5403,Chelsea,Bournemouth,2.56,2,0.56,Under 2.5,True,2.3,1.2999999999999998,1:1,2:0,False,False
vf:match:1404287326,VFLM 5403,Leeds,Everton,1.64,0,1.64,Under 2.5,True,1.25,0.25,0:0,0:0,True,True
vf:match:1404287325,VFLM 5403,Fulham,Crystal Palace,2.11,1,1.1099999999999999,Under 2.5,True,1.6,0.6000000000000001,1:1,1:0,False,True
vf:match:1404287324,VFLM 5403,Brighton,Manchester Red,2.6,1,1.6,Under 2.5,True,1.65,0.6499999999999999,1:1,0:1,False,True
vf:match:1404287323,VFLM 5403,Wolverhampton,Aston Villa,2.79,1,1.79,Under 2.5,True,1.9,0.8999999999999999,1:1,0:1,False,False
vf:match:1404287322,VFLM 5403,Newcastle,Manchester Blue,3.07,3,0.06999999999999984,Under 2.5,False,2.2,-1.0,1:1,0:3,False,False
vf:match:1404287321,VFLM 5403,Liverpool,London Guns,2.99,6,3.01,Under 2.5,False,2.05,-1.0,1:1,4:2,False,False
