event_id,actual_odd,total_goals,p_odd_from_correct_score,cs_lines,p_odd_oe_market,p_odd_exact_goals,p_over25,gap_cs_minus_oe,cs_pick_odd,oe_pick_odd
vf:match:1404278411,0,0,0.4949534172992863,16,0.48611111111111105,0.46926738737560114,0.5,0.008842306188175275,0,0
vf:match:1404278404,0,2,0.501942798246637,16,0.5,0.49400748656098503,0.56,0.001942798246637012,1,1
vf:match:1404278393,1,1,0.4630943030217684,16,0.45833333333333337,0.4416304343978804,0.527027027027027,0.004760969688435035,0,0
vf:match:1404278392,0,2,0.4955392833246901,16,0.48611111111111105,0.48675651089925903,0.42105263157894735,0.009428172213579056,0,0
vf:match:1404278391,0,4,0.5002593938533375,16,0.5,0.49855037822738363,0.44,0.0002593938533375084,1,1
vf:match:1404278385,0,2,0.4820639507045153,16,0.4722222222222222,0.4694782786833569,0.3974358974358974,0.009841728482293088,0,0
vf:match:1404278379,1,1,0.4879587428984012,16,0.4794520547945205,0.46797706341551437,0.6153846153846154,0.008506688103880666,0,0
vf:match:1404278378,1,3,0.48582752854441935,15,0.48611111111111105,0.4821199076446729,0.4666666666666667,-0.000283582566691698,0,0
vf:match:1404278373,0,2,0.5055449528264799,16,0.5,0.48776359495429156,0.6202531645569621,0.005544952826479932,1,1
vf:match:1404278369,1,5,0.5127616315795607,16,0.5138888888888888,0.5036761915632036,0.5135135135135135,-0.0011272573093281668,1,1
vf:match:1404278365,0,4,0.46759059250857793,16,0.4657534246575343,0.4554536195011585,0.4266666666666667,0.0018371678510436529,0,0
vf:match:1404278362,1,1,0.524722595191632,16,0.5277777777777778,0.5252769212384885,0.45945945945945943,-0.003055182586145788,1,1
vf:match:1404278358,1,3,0.47271156397336755,16,0.4794520547945205,0.46746035580555656,0.3373493975903614,-0.006740490821152967,0,0
vf:match:1404278357,0,6,0.5016271581536232,16,0.49315068493150677,0.4921249197768045,0.38961038961038963,0.008476473222116476,1,0
vf:match:1404278356,1,1,0.51840484727998,15,0.5068493150684932,0.5024531387518401,0.3536585365853659,0.011555532211486863,1,1
vf:match:1404278355,1,7,0.5034774793933856,16,0.5,0.48860547376624314,0.5466666666666666,0.0034774793933856074,1,1
vf:match:1404278354,0,2,0.5027251852068075,16,0.5138888888888888,0.4996256799201072,0.5921052631578947,-0.011163703682081305,1,1
vf:match:1404278353,1,1,0.48722800321832777,16,0.4657534246575343,0.4445666227451059,0.56,0.02147457856079349,0,0
vf:match:1404278350,0,0,0.5004643313260556,15,0.5,0.49310245098892647,0.26041666666666663,0.00046433132605561145,1,1
vf:match:1404278345,1,3,0.49692281735805627,16,0.48611111111111105,0.4833758382922452,0.5135135135135135,0.010811706246945219,0,0
vf:match:1404278343,0,2,0.5149107562984585,16,0.5068493150684932,0.49848323807613887,0.4864864864864864,0.008061441229965327,1,1
vf:match:1404278340,0,2,0.49409675051641233,16,0.48611111111111105,0.47676011339038266,0.43421052631578944,0.007985639405301281,0,0
vf:match:1404278339,0,2,0.4963443191220019,16,0.5,0.4943838571280019,0.42105263157894735,-0.003655680877998113,0,1
vf:match:1404278338,1,1,0.5370903828242867,15,0.5138888888888888,0.4976637485155068,0.5333333333333333,0.023201493935397832,1,1
vf:match:1404278337,1,1,0.4990050774852963,16,0.5,0.4905575364415209,0.44594594594594594,-0.0009949225147036778,0,1
vf:match:1404278335,1,1,0.4952886056802013,16,0.49315068493150677,0.48547235751708884,0.5,0.0021379207486945107,0,0
vf:match:1404278328,1,5,0.498965133446304,16,0.48611111111111105,0.4819820222037273,0.56,0.01285402233519295,0,0
vf:match:1404278326,1,3,0.49041139155261027,16,0.48611111111111105,0.4868400047624463,0.33333333333333337,0.004300280441499216,0,0
vf:match:1404278324,0,2,0.5034006087360688,16,0.5,0.47548387811753795,0.5333333333333333,0.003400608736068844,1,1
vf:match:1404278322,0,2,0.5046270146653117,16,0.5,0.4924075209620047,0.56,0.0046270146653116795,1,1
vf:match:1404278321,0,0,0.4969009338922592,16,0.5,0.4952812317606382,0.29545454545454547,-0.0030990661077408,0,1
vf:match:1404278316,1,3,0.5127003970035261,16,0.5068493150684932,0.493903235142378,0.5,0.00585108193503292,1,1
vf:match:1404278311,1,1,0.4696153964099424,16,0.4722222222222222,0.4684225241923753,0.33333333333333337,-0.002606825812279834,0,0
vf:match:1404278302,1,3,0.49867547557280717,16,0.5,0.49437945168036285,0.3670886075949367,-0.0013245244271928303,0,1
vf:match:1404278300,0,4,0.5100796507225089,16,0.5138888888888888,0.49656427149301063,0.5405405405405405,-0.0038092381663799024,1,1
vf:match:1404278297,1,1,0.4699422793665686,16,0.4722222222222222,0.4472597478256535,0.5733333333333334,-0.002279942855653583,0,0
vf:match:1404278293,1,5,0.4993583658266535,16,0.48611111111111105,0.47170370093447367,0.5733333333333334,0.013247254715542445,0,0
vf:match:1404278292,0,2,0.48007000511097137,16,0.48611111111111105,0.47820072838631283,0.313953488372093,-0.006041106000139684,0,0
vf:match:1404278291,0,0,0.5283334600813766,16,0.5277777777777778,0.5219471927453684,0.44594594594594594,0.0005556823035988145,1,1
vf:match:1404278273,1,3,0.497386804852211,16,0.48611111111111105,0.4840508199033154,0.5135135135135135,0.011275693741099935,0,0
vf:match:1404278269,1,3,0.5395390899443274,16,0.5277777777777778,0.5265310462188616,0.5,0.011761312166549631,1,1
vf:match:1404278263,0,2,0.4639516284089413,16,0.4657534246575343,0.46241568361259405,0.3373493975903614,-0.0018017962485930017,0,0
vf:match:1404278258,1,1,0.5124672239047917,16,0.5138888888888888,0.5137828854498566,0.36250000000000004,-0.0014216649840971263,1,1
