season_name,matchday_number,event_id,home_team,away_team,total_goals,total_goals_odd,home_goals,away_goals,odd_odds,even_odds,o25,u25,o15,u15,gg_yes,gg_no,dc_12,dc_1x,dc_x2,home_win,draw,away_win,actual_odd,p_implied_odd,p_implied_even,p_over25,p_over15,p_gg_yes,p_home,p_draw,p_away,tag_primary,tags
VFLM 5382,30,,Bournemouth,Wolverhampton,6,0,3,3,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5382,30,,Brighton,Manchester Red,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5382,30,,Crystal Palace,Aston Villa,4,0,0,4,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5382,30,,Fulham,Manchester Blue,3,1,3,0,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5382,30,,Leeds,Liverpool,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5382,30,,London Guns,Newcastle,3,1,0,3,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5382,30,,Tottenham,Chelsea,2,0,2,0,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5382,30,,West Ham,Everton,2,0,2,0,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,Bournemouth,Brighton,1,1,1,0,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,Everton,Manchester Red,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,Fulham,Leeds,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,Liverpool,West Ham,3,1,2,1,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,London Guns,Chelsea,4,0,2,2,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,Manchester Blue,Crystal Palace,3,1,3,0,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,Newcastle,Aston Villa,2,0,1,1,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5383,30,,Wolverhampton,Tottenham,3,1,1,2,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5384,30,,Aston Villa,Liverpool,1,1,1,0,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5384,30,,Brighton,Manchester Red,4,0,3,1,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5384,30,,Chelsea,Everton,4,0,3,1,,,,,,,,,,,,,,,0,,,,,,,,,OE_missing,OE_missing
VFLM 5384,30,,Crystal Palace,West Ham,5,1,2,3,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
VFLM 5384,30,,London Guns,Fulham,1,1,1,0,,,,,,,,,,,,,,,1,,,,,,,,,OE_missing,OE_missing
