tag,n,pct_odd,mean_p_odd,gap_vs_implied,consistency_score
O15_very_high,1781,50.31,0.4950607503352229,0.008,11.0
OE_even_fav,1699,46.73,0.47961868517876477,-0.0123,111.1
OE_coin,1593,49.47,0.4998366139531684,-0.0051,16.9
O25_high,1250,48.96,0.4976094368340943,-0.008,26.0
O25_low,1106,48.82,0.49204904203170197,-0.0038,26.1
GG_yes_lean,1070,51.59,0.4974176115472098,0.0185,34.0
OE_odd_fav,958,52.3,0.5180275132426446,0.005,44.1
GG_no_lean,796,46.73,0.4935645938071737,-0.0263,52.1
COMBO_even_fav_low_o25,458,46.94,0.47271407017473893,-0.0033,28.0
COMBO_even_fav_gg_no,414,45.65,0.4729373010095662,-0.0164,36.0
COMBO_odd_fav_gg_yes,139,58.99,0.5299034744806894,0.06,25.0
OE_missing,128,53.12,,,8.0
OE_even_fav_strong,119,47.06,0.4540357238785926,0.0166,7.0
OE_odd_fav_strong,63,71.43,0.5452544031311155,0.169,27.0
