event_id,home_team,away_team,E_total_ou_cdf,E_total_exact_goals,E_total_h2h,E_total_blend,P_T_pmf_ou,top_scorelines_book_cs,top_scorelines_model,actual_total
vf:match:1404291900,London Guns,Crystal Palace,,,3.039,3.039,,[],"[{'scoreline': '1:1', 'p': 0.1104}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",3
vf:match:1404291899,Manchester Blue,Chelsea,,,3.098,3.098,,[],"[{'scoreline': '1:1', 'p': 0.1081}, {'scoreline': '2:1', 'p': 0.0871}, {'scoreline': '1:2', 'p': 0.0804}]",2
vf:match:1404291898,Wolverhampton,Bournemouth,,,3.03,3.03,,[],"[{'scoreline': '1:1', 'p': 0.1107}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",3
vf:match:1404291897,West Ham,Everton,,,2.331,2.331,,[],"[{'scoreline': '1:1', 'p': 0.1318}, {'scoreline': '1:0', 'p': 0.1178}, {'scoreline': '0:1', 'p': 0.1088}]",1
vf:match:1404291896,Newcastle,Leeds,,,2.284,2.284,,[],"[{'scoreline': '1:1', 'p': 0.1327}, {'scoreline': '1:0', 'p': 0.121}, {'scoreline': '0:1', 'p': 0.1117}]",3
vf:match:1404291895,Aston Villa,Brighton,,,2.345,2.345,,[],"[{'scoreline': '1:1', 'p': 0.1316}, {'scoreline': '1:0', 'p': 0.1169}, {'scoreline': '0:1', 'p': 0.1079}]",2
vf:match:1404291894,Fulham,Tottenham,,,2.359,2.359,,[],"[{'scoreline': '1:1', 'p': 0.1313}, {'scoreline': '1:0', 'p': 0.1159}, {'scoreline': '0:1', 'p': 0.107}]",3
vf:match:1404291893,Manchester Red,Liverpool,,,2.724,2.724,,[],"[{'scoreline': '1:1', 'p': 0.1215}, {'scoreline': '1:0', 'p': 0.0929}, {'scoreline': '2:1', 'p': 0.0861}]",1
vf:match:1404291892,Liverpool,Wolverhampton,,,2.87,2.87,,[],"[{'scoreline': '1:1', 'p': 0.1166}, {'scoreline': '2:1', 'p': 0.087}, {'scoreline': '1:0', 'p': 0.0846}]",0
vf:match:1404291891,Chelsea,West Ham,,,3.047,3.047,,[],"[{'scoreline': '1:1', 'p': 0.1101}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",6
vf:match:1404291890,Bournemouth,Fulham,,,2.004,2.004,,[],"[{'scoreline': '1:0', 'p': 0.1405}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.1348}]",0
vf:match:1404291889,Brighton,Manchester Red,,,2.595,2.595,,[],"[{'scoreline': '1:1', 'p': 0.1255}, {'scoreline': '1:0', 'p': 0.1007}, {'scoreline': '0:1', 'p': 0.093}]",4
vf:match:1404291888,Newcastle,Aston Villa,,,2.405,2.405,,[],"[{'scoreline': '1:1', 'p': 0.1303}, {'scoreline': '1:0', 'p': 0.1129}, {'scoreline': '0:1', 'p': 0.1042}]",3
vf:match:1404291887,Crystal Palace,Manchester Blue,,,3.14,3.14,,[],"[{'scoreline': '1:1', 'p': 0.1065}, {'scoreline': '2:1', 'p': 0.087}, {'scoreline': '1:2', 'p': 0.0803}]",2
vf:match:1404291886,Tottenham,London Guns,,,2.764,2.764,,[],"[{'scoreline': '1:1', 'p': 0.1202}, {'scoreline': '1:0', 'p': 0.0906}, {'scoreline': '2:1', 'p': 0.0864}]",3
vf:match:1404291885,Leeds,Everton,,,1.642,1.642,,[],"[{'scoreline': '0:0', 'p': 0.1936}, {'scoreline': '1:0', 'p': 0.1653}, {'scoreline': '0:1', 'p': 0.1526}]",3
vf:match:1404291884,Manchester Blue,Tottenham,,,3.208,3.208,,[],"[{'scoreline': '1:1', 'p': 0.1039}, {'scoreline': '2:1', 'p': 0.0866}, {'scoreline': '1:2', 'p': 0.08}]",3
vf:match:1404291883,London Guns,Bournemouth,,,2.687,2.687,,[],"[{'scoreline': '1:1', 'p': 0.1227}, {'scoreline': '1:0', 'p': 0.0951}, {'scoreline': '0:1', 'p': 0.0878}]",3
vf:match:1404291882,Manchester Red,Newcastle,,,2.759,2.759,,[],"[{'scoreline': '1:1', 'p': 0.1204}, {'scoreline': '1:0', 'p': 0.0909}, {'scoreline': '2:1', 'p': 0.0863}]",5
vf:match:1404291881,Fulham,Liverpool,,,2.307,2.307,,[],"[{'scoreline': '1:1', 'p': 0.1323}, {'scoreline': '1:0', 'p': 0.1194}, {'scoreline': '0:1', 'p': 0.1102}]",1
vf:match:1404291880,Everton,Chelsea,,,2.456,2.456,,[],"[{'scoreline': '1:1', 'p': 0.1291}, {'scoreline': '1:0', 'p': 0.1095}, {'scoreline': '0:1', 'p': 0.1011}]",3
vf:match:1404291879,West Ham,Crystal Palace,,,2.735,2.735,,[],"[{'scoreline': '1:1', 'p': 0.1212}, {'scoreline': '1:0', 'p': 0.0923}, {'scoreline': '2:1', 'p': 0.0862}]",0
vf:match:1404291878,Wolverhampton,Brighton,,,2.846,2.846,,[],"[{'scoreline': '1:1', 'p': 0.1174}, {'scoreline': '2:1', 'p': 0.0869}, {'scoreline': '1:0', 'p': 0.0859}]",1
vf:match:1404291877,Aston Villa,Leeds,,,2.04,2.04,,[],"[{'scoreline': '1:0', 'p': 0.1379}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.13}]",0
vf:match:1404291876,Brighton,Fulham,,,2.036,2.036,,[],"[{'scoreline': '1:0', 'p': 0.1382}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.1305}]",1
vf:match:1404291875,Bournemouth,Manchester Blue,,,2.947,2.947,,[],"[{'scoreline': '1:1', 'p': 0.1138}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",2
vf:match:1404291874,Aston Villa,Manchester Red,,,2.163,2.163,,[],"[{'scoreline': '1:1', 'p': 0.1343}, {'scoreline': '1:0', 'p': 0.1293}, {'scoreline': '0:1', 'p': 0.1194}]",5
vf:match:1404291873,Liverpool,London Guns,,,2.988,2.988,,[],"[{'scoreline': '1:1', 'p': 0.1123}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",2
vf:match:1404291872,Tottenham,West Ham,,,2.727,2.727,,[],"[{'scoreline': '1:1', 'p': 0.1214}, {'scoreline': '1:0', 'p': 0.0928}, {'scoreline': '2:1', 'p': 0.0861}]",4
vf:match:1404291871,Leeds,Chelsea,,,2.411,2.411,,[],"[{'scoreline': '1:1', 'p': 0.1302}, {'scoreline': '1:0', 'p': 0.1125}, {'scoreline': '0:1', 'p': 0.1038}]",0
vf:match:1404291870,Newcastle,Wolverhampton,,,3.021,3.021,,[],"[{'scoreline': '1:1', 'p': 0.1111}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",2
vf:match:1404291869,Crystal Palace,Everton,,,2.144,2.144,,[],"[{'scoreline': '1:1', 'p': 0.1345}, {'scoreline': '1:0', 'p': 0.1306}, {'scoreline': '0:1', 'p': 0.1206}]",0
vf:match:1404291868,West Ham,Bournemouth,,,2.603,2.603,,[],"[{'scoreline': '1:1', 'p': 0.1252}, {'scoreline': '1:0', 'p': 0.1002}, {'scoreline': '0:1', 'p': 0.0925}]",3
