tag,season,n,pct_odd
OE_even_fav,VFLM 5382,97,34.0
OE_even_fav,VFLM 5383,99,45.5
OE_even_fav,VFLM 5384,99,44.4
OE_even_fav,VFLM 5385,98,44.9
OE_even_fav,VFLM 5386,100,44.0
OE_even_fav,VFLM 5387,98,41.8
OE_even_fav,VFLM 5388,98,43.9
OE_even_fav,VFLM 5389,97,57.7
OE_even_fav,VFLM 5390,96,51.0
OE_even_fav,VFLM 5391,90,52.2
OE_even_fav,VFLM 5392,94,52.1
OE_even_fav,VFLM 5394,93,36.6
OE_even_fav,VFLM 5395,97,53.6
OE_even_fav,VFLM 5396,97,47.4
OE_even_fav,VFLM 5397,95,50.5
OE_even_fav,VFLM 5398,93,40.9
OE_even_fav,VFLM 5399,90,43.3
OE_even_fav,VFLM 5400,96,49.0
OE_even_fav,VFLM 5401,91,56.0
GG_no_lean,VFLM 5382,43,41.9
GG_no_lean,VFLM 5383,42,52.4
GG_no_lean,VFLM 5384,42,61.9
GG_no_lean,VFLM 5385,40,30.0
GG_no_lean,VFLM 5386,42,47.6
GG_no_lean,VFLM 5387,41,41.5
GG_no_lean,VFLM 5388,42,35.7
GG_no_lean,VFLM 5389,42,50.0
GG_no_lean,VFLM 5390,43,48.8
GG_no_lean,VFLM 5391,41,61.0
GG_no_lean,VFLM 5392,42,40.5
GG_no_lean,VFLM 5394,42,40.5
GG_no_lean,VFLM 5395,42,45.2
GG_no_lean,VFLM 5396,41,51.2
GG_no_lean,VFLM 5397,42,47.6
GG_no_lean,VFLM 5398,42,42.9
GG_no_lean,VFLM 5399,41,36.6
GG_no_lean,VFLM 5400,43,51.2
GG_no_lean,VFLM 5401,43,60.5
OE_odd_fav,VFLM 5382,52,55.8
OE_odd_fav,VFLM 5383,55,45.5
OE_odd_fav,VFLM 5384,58,60.3
OE_odd_fav,VFLM 5385,56,51.8
OE_odd_fav,VFLM 5386,56,57.1
OE_odd_fav,VFLM 5387,55,52.7
OE_odd_fav,VFLM 5388,56,51.8
OE_odd_fav,VFLM 5389,51,49.0
OE_odd_fav,VFLM 5390,56,51.8
OE_odd_fav,VFLM 5391,56,60.7
OE_odd_fav,VFLM 5392,50,52.0
OE_odd_fav,VFLM 5394,53,41.5
OE_odd_fav,VFLM 5395,54,61.1
OE_odd_fav,VFLM 5396,50,52.0
OE_odd_fav,VFLM 5397,54,51.9
OE_odd_fav,VFLM 5398,50,54.0
OE_odd_fav,VFLM 5399,54,57.4
OE_odd_fav,VFLM 5400,55,50.9
OE_odd_fav,VFLM 5401,50,58.0
COMBO_even_fav_gg_no,VFLM 5382,25,24.0
COMBO_even_fav_gg_no,VFLM 5383,25,40.0
COMBO_even_fav_gg_no,VFLM 5384,22,59.1
COMBO_even_fav_gg_no,VFLM 5385,24,37.5
COMBO_even_fav_gg_no,VFLM 5386,23,60.9
COMBO_even_fav_gg_no,VFLM 5387,23,43.5
COMBO_even_fav_gg_no,VFLM 5388,24,37.5
COMBO_even_fav_gg_no,VFLM 5389,22,68.2
COMBO_even_fav_gg_no,VFLM 5390,21,47.6
COMBO_even_fav_gg_no,VFLM 5391,22,54.5
COMBO_even_fav_gg_no,VFLM 5392,21,42.9
COMBO_even_fav_gg_no,VFLM 5394,23,43.5
COMBO_even_fav_gg_no,VFLM 5395,21,47.6
COMBO_even_fav_gg_no,VFLM 5396,23,56.5
COMBO_even_fav_gg_no,VFLM 5397,19,26.3
COMBO_even_fav_gg_no,VFLM 5398,19,36.8
COMBO_even_fav_gg_no,VFLM 5399,19,26.3
COMBO_even_fav_gg_no,VFLM 5400,19,63.2
COMBO_even_fav_gg_no,VFLM 5401,19,52.6
GG_yes_lean,VFLM 5382,56,53.6
GG_yes_lean,VFLM 5383,55,49.1
GG_yes_lean,VFLM 5384,56,57.1
GG_yes_lean,VFLM 5385,56,57.1
GG_yes_lean,VFLM 5386,59,59.3
GG_yes_lean,VFLM 5387,58,51.7
GG_yes_lean,VFLM 5388,59,47.5
GG_yes_lean,VFLM 5389,58,50.0
GG_yes_lean,VFLM 5390,59,50.8
GG_yes_lean,VFLM 5391,56,60.7
GG_yes_lean,VFLM 5392,56,53.6
GG_yes_lean,VFLM 5394,56,48.2
GG_yes_lean,VFLM 5395,56,44.6
GG_yes_lean,VFLM 5396,56,46.4
GG_yes_lean,VFLM 5397,56,46.4
GG_yes_lean,VFLM 5398,53,50.9
GG_yes_lean,VFLM 5399,54,46.3
GG_yes_lean,VFLM 5400,56,53.6
GG_yes_lean,VFLM 5401,55,52.7
COMBO_even_fav_low_o25,VFLM 5382,28,21.4
COMBO_even_fav_low_o25,VFLM 5383,29,44.8
COMBO_even_fav_low_o25,VFLM 5384,25,56.0
COMBO_even_fav_low_o25,VFLM 5385,25,48.0
COMBO_even_fav_low_o25,VFLM 5386,27,51.9
COMBO_even_fav_low_o25,VFLM 5387,26,42.3
COMBO_even_fav_low_o25,VFLM 5388,26,34.6
COMBO_even_fav_low_o25,VFLM 5389,23,65.2
COMBO_even_fav_low_o25,VFLM 5390,21,52.4
COMBO_even_fav_low_o25,VFLM 5391,22,59.1
COMBO_even_fav_low_o25,VFLM 5392,24,54.2
COMBO_even_fav_low_o25,VFLM 5394,24,45.8
COMBO_even_fav_low_o25,VFLM 5395,23,47.8
COMBO_even_fav_low_o25,VFLM 5396,25,56.0
COMBO_even_fav_low_o25,VFLM 5397,22,31.8
COMBO_even_fav_low_o25,VFLM 5398,23,34.8
COMBO_even_fav_low_o25,VFLM 5399,22,36.4
COMBO_even_fav_low_o25,VFLM 5400,22,63.6
COMBO_even_fav_low_o25,VFLM 5401,21,52.4
