home_team,away_team,n,n_odd,avg_total_goals,seasons_seen,distinct_mds,n_even,pct_odd,pct_even,dominant,dominant_pct,home_tier,away_tier
London Guns,Aston Villa,896,445,2.431919642857143,527,30,451,49.67,50.33,Even,50.33,T1,T2
Wolverhampton,Aston Villa,887,386,2.827508455467869,529,30,501,43.52,56.48,Even,56.48,T3,T2
Brighton,Crystal Palace,881,530,2.5266742338251986,526,30,351,60.16,39.84,Odd,60.16,T2,T3
Everton,West Ham,874,501,2.3123569794050343,531,30,373,57.32,42.68,Odd,57.32,T2,T2
Chelsea,London Guns,873,545,2.8052691867124855,519,30,328,62.43,37.57,Odd,62.43,T1,T1
Fulham,Tottenham,873,453,2.3585337915234823,522,30,420,51.89,48.11,Odd,51.89,T4,T1
Tottenham,West Ham,872,442,2.8922018348623855,526,30,430,50.69,49.31,Odd,50.69,T1,T2
Brighton,Manchester Red,871,377,2.3960964408725602,524,30,494,43.28,56.72,Even,56.72,T2,T1
Manchester Blue,Brighton,871,426,3.118254879448909,537,30,445,48.91,51.09,Even,51.09,T1,T2
Brighton,Everton,870,400,2.296551724137931,528,30,470,45.98,54.02,Even,54.02,T2,T2
Liverpool,Bournemouth,869,331,2.756041426927503,523,30,538,38.09,61.91,Even,61.91,T1,T4
Everton,Tottenham,863,379,2.27694090382387,525,30,484,43.92,56.08,Even,56.08,T2,T1
Bournemouth,Manchester Red,863,492,2.500579374275782,520,30,371,57.01,42.99,Odd,57.01,T4,T1
Liverpool,Newcastle,863,460,3.068366164542294,524,30,403,53.3,46.7,Odd,53.3,T1,T3
Tottenham,Wolverhampton,863,430,3.003476245654693,527,30,433,49.83,50.17,Even,50.17,T1,T3
Crystal Palace,Liverpool,862,372,2.6310904872389793,520,30,490,43.16,56.84,Even,56.84,T3,T1
West Ham,Fulham,862,474,2.394431554524362,526,30,388,54.99,45.01,Odd,54.99,T2,T4
Newcastle,Wolverhampton,862,480,3.0672853828306264,523,30,382,55.68,44.32,Odd,55.68,T3,T3
Leeds,Tottenham,861,493,1.9686411149825784,532,30,368,57.26,42.74,Odd,57.26,T3,T1
Manchester Blue,Newcastle,860,361,3.263953488372093,511,30,499,41.98,58.02,Even,58.02,T1,T3
Leeds,Manchester Blue,860,432,2.1186046511627907,521,30,428,50.23,49.77,Odd,50.23,T3,T1
Aston Villa,Tottenham,859,350,2.3073341094295694,523,30,509,40.75,59.25,Even,59.25,T2,T1
Everton,Bournemouth,858,389,1.9475524475524475,522,30,469,45.34,54.66,Even,54.66,T2,T4
Manchester Red,Manchester Blue,858,422,2.526806526806527,528,30,436,49.18,50.82,Even,50.82,T1,T1
Leeds,Everton,855,341,1.6596491228070176,522,30,514,39.88,60.12,Even,60.12,T3,T2
Manchester Red,Wolverhampton,854,353,3.2634660421545667,521,30,501,41.33,58.67,Even,58.67,T1,T3
Crystal Palace,Chelsea,854,433,2.7365339578454333,518,30,421,50.7,49.3,Odd,50.7,T3,T1
London Guns,Newcastle,853,456,2.984759671746776,521,30,397,53.46,46.54,Odd,53.46,T1,T3
Manchester Red,Liverpool,853,398,2.827667057444314,514,30,455,46.66,53.34,Even,53.34,T1,T1
Leeds,Manchester Red,853,446,2.0586166471277845,524,30,407,52.29,47.71,Odd,52.29,T3,T1
Manchester Red,Bournemouth,853,378,2.7854630715123094,520,30,475,44.31,55.69,Even,55.69,T1,T4
Bournemouth,London Guns,853,393,2.484173505275498,513,30,460,46.07,53.93,Even,53.93,T4,T1
Fulham,Chelsea,851,399,2.4947121034077555,509,30,452,46.89,53.11,Even,53.11,T4,T1
Wolverhampton,West Ham,850,445,3.4505882352941177,518,30,405,52.35,47.65,Odd,52.35,T3,T2
Chelsea,Tottenham,850,503,2.82,517,30,347,59.18,40.82,Odd,59.18,T1,T1
Bournemouth,Everton,850,443,2.0694117647058823,509,30,407,52.12,47.88,Odd,52.12,T4,T2
Manchester Red,Leeds,850,351,2.5823529411764707,514,30,499,41.29,58.71,Even,58.71,T1,T3
Crystal Palace,Everton,850,415,2.104705882352941,525,30,435,48.82,51.18,Even,51.18,T3,T2
Fulham,Aston Villa,849,298,2.101295641931684,519,30,551,35.1,64.9,Even,64.9,T4,T2
Crystal Palace,Brighton,849,399,3.0541813898704357,514,30,450,47.0,53.0,Even,53.0,T3,T2
Crystal Palace,Manchester Red,849,488,2.664310954063604,522,30,361,57.48,42.52,Odd,57.48,T3,T1
Newcastle,London Guns,848,389,2.732311320754717,520,30,459,45.87,54.13,Even,54.13,T3,T1
West Ham,Brighton,848,354,2.349056603773585,519,30,494,41.75,58.25,Even,58.25,T2,T2
Manchester Red,Chelsea,848,535,2.7275943396226414,518,30,313,63.09,36.91,Odd,63.09,T1,T1
Fulham,Wolverhampton,848,498,2.410377358490566,514,30,350,58.73,41.27,Odd,58.73,T4,T3
Wolverhampton,Brighton,847,377,2.7638724911452184,514,30,470,44.51,55.49,Even,55.49,T3,T2
Liverpool,London Guns,846,451,2.937352245862884,518,30,395,53.31,46.69,Odd,53.31,T1,T1
Aston Villa,Chelsea,846,485,2.4645390070921986,516,30,361,57.33,42.67,Odd,57.33,T2,T1
Manchester Blue,Crystal Palace,845,526,3.2828402366863907,516,30,319,62.25,37.75,Odd,62.25,T1,T3
Wolverhampton,Leeds,845,473,2.3751479289940827,519,30,372,55.98,44.02,Odd,55.98,T3,T3
Newcastle,Tottenham,845,354,2.693491124260355,517,30,491,41.89,58.11,Even,58.11,T3,T1
Bournemouth,Wolverhampton,845,380,2.9633136094674555,518,30,465,44.97,55.03,Even,55.03,T4,T3
Fulham,Liverpool,845,420,2.182248520710059,515,30,425,49.7,50.3,Even,50.3,T4,T1
Brighton,Aston Villa,844,473,2.2334123222748814,514,30,371,56.04,43.96,Odd,56.04,T2,T2
Bournemouth,Aston Villa,844,344,2.381516587677725,508,30,500,40.76,59.24,Even,59.24,T4,T2
Manchester Blue,West Ham,844,385,3.6718009478672986,514,30,459,45.62,54.38,Even,54.38,T1,T2
Brighton,Chelsea,844,400,2.838862559241706,517,30,444,47.39,52.61,Even,52.61,T2,T1
Everton,Liverpool,844,435,2.0627962085308056,512,30,409,51.54,48.46,Odd,51.54,T2,T1
London Guns,Brighton,844,334,2.796208530805687,518,30,510,39.57,60.43,Even,60.43,T1,T2
Manchester Blue,Wolverhampton,843,375,3.5029655990510085,516,30,468,44.48,55.52,Even,55.52,T1,T3
Everton,Manchester Blue,843,342,2.3819691577698694,516,30,501,40.57,59.43,Even,59.43,T2,T1
London Guns,Crystal Palace,843,434,3.0604982206405693,518,30,409,51.48,48.52,Odd,51.48,T1,T3
West Ham,Crystal Palace,842,360,2.8004750593824226,515,30,482,42.76,57.24,Even,57.24,T2,T3
Manchester Red,West Ham,842,407,2.8729216152019004,517,30,435,48.34,51.66,Even,51.66,T1,T2
Brighton,Leeds,842,472,1.845605700712589,513,30,370,56.06,43.94,Odd,56.06,T2,T3
Chelsea,Bournemouth,842,458,2.817102137767221,522,30,384,54.39,45.61,Odd,54.39,T1,T4
Wolverhampton,Tottenham,842,395,2.956057007125891,512,30,447,46.91,53.09,Even,53.09,T3,T1
Fulham,Bournemouth,842,422,2.030878859857482,516,30,420,50.12,49.88,Odd,50.12,T4,T4
Bournemouth,Crystal Palace,842,378,2.304038004750594,511,30,464,44.89,55.11,Even,55.11,T4,T3
London Guns,Everton,842,388,2.513064133016627,512,30,454,46.08,53.92,Even,53.92,T1,T2
West Ham,Leeds,842,386,2.4156769596199523,509,30,456,45.84,54.16,Even,54.16,T2,T3
Everton,Wolverhampton,841,504,2.5517241379310347,514,30,337,59.93,40.07,Odd,59.93,T2,T3
London Guns,Fulham,841,475,2.7859690844233054,524,30,366,56.48,43.52,Odd,56.48,T1,T4
Everton,Fulham,841,456,2.102259215219976,520,30,385,54.22,45.78,Odd,54.22,T2,T4
Tottenham,Leeds,841,291,2.177170035671819,503,30,550,34.6,65.4,Even,65.4,T1,T3
Aston Villa,Fulham,841,401,2.4673008323424495,515,30,440,47.68,52.32,Even,52.32,T2,T4
Leeds,Liverpool,841,411,2.074910820451843,509,30,430,48.87,51.13,Even,51.13,T3,T1
Newcastle,Leeds,841,487,2.2936979785969083,520,30,354,57.91,42.09,Odd,57.91,T3,T3
Aston Villa,Newcastle,841,301,2.315101070154578,520,30,540,35.79,64.21,Even,64.21,T2,T3
Manchester Red,London Guns,841,476,2.901307966706302,500,30,365,56.6,43.4,Odd,56.6,T1,T1
Tottenham,Manchester Blue,841,397,2.8810939357907253,517,30,444,47.21,52.79,Even,52.79,T1,T1
Manchester Blue,Liverpool,841,459,2.90487514863258,518,30,382,54.58,45.42,Odd,54.58,T1,T1
Newcastle,Everton,840,321,1.8107142857142857,516,30,519,38.21,61.79,Even,61.79,T3,T2
Chelsea,Brighton,840,346,2.7261904761904763,514,30,494,41.19,58.81,Even,58.81,T1,T2
Liverpool,Everton,840,434,2.302380952380952,510,30,406,51.67,48.33,Odd,51.67,T1,T2
Fulham,Leeds,840,378,1.811904761904762,514,30,462,45.0,55.0,Even,55.0,T4,T3
Newcastle,Fulham,840,351,2.0702380952380954,522,30,489,41.79,58.21,Even,58.21,T3,T4
Liverpool,Crystal Palace,839,366,3.032181168057211,516,30,473,43.62,56.38,Even,56.38,T1,T3
Aston Villa,Manchester Blue,839,378,2.595947556615018,512,30,461,45.05,54.95,Even,54.95,T2,T1
Crystal Palace,Manchester Blue,839,404,3.00357568533969,503,30,435,48.15,51.85,Even,51.85,T3,T1
Leeds,Newcastle,839,445,2.2777115613825982,516,30,394,53.04,46.96,Odd,53.04,T3,T3
Bournemouth,Manchester Blue,838,389,2.8914081145584727,513,30,449,46.42,53.58,Even,53.58,T4,T1
Aston Villa,Everton,838,443,1.9463007159904535,520,30,395,52.86,47.14,Odd,52.86,T2,T2
Chelsea,Crystal Palace,838,362,2.8878281622911692,517,30,476,43.2,56.8,Even,56.8,T1,T3
Manchester Blue,Chelsea,837,472,3.120669056152927,515,30,365,56.39,43.61,Odd,56.39,T1,T1
Tottenham,London Guns,837,291,2.782556750298686,518,30,546,34.77,65.23,Even,65.23,T1,T1
Everton,Chelsea,837,387,2.3094384707287934,517,30,450,46.24,53.76,Even,53.76,T2,T1
Chelsea,Fulham,837,374,2.7311827956989245,512,30,463,44.68,55.32,Even,55.32,T1,T4
Chelsea,Newcastle,836,377,3.147129186602871,511,30,459,45.1,54.9,Even,54.9,T1,T3
Wolverhampton,Chelsea,836,424,3.0933014354066986,519,30,412,50.72,49.28,Odd,50.72,T3,T1
