team,Aston Villa,Bournemouth,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,London Guns,Manchester Blue,Manchester Red,Newcastle,Tottenham,West Ham,Wolverhampton
Aston Villa,,1.605,1.388,1.15,1.931,1.054,1.726,1.345,1.017,1.145,1.154,0.891,1.723,1.172,1.405,1.701
Bournemouth,0.726,,0.867,0.705,1.227,0.689,1.039,0.831,0.719,0.796,0.727,0.73,1.026,0.728,0.98,1.342
Brighton,0.957,1.253,,1.022,1.635,1.034,1.233,0.999,0.806,0.961,0.931,0.846,1.095,0.934,1.227,1.393
Chelsea,1.284,1.853,1.774,,1.963,1.507,1.932,1.77,1.342,1.536,1.382,1.377,2.205,1.441,1.902,2.107
Crystal Palace,0.724,1.269,1.145,0.817,,0.86,1.126,1.002,0.599,0.955,0.898,0.797,1.259,0.781,1.243,1.292
Everton,0.869,1.301,1.03,0.95,1.284,,1.226,1.054,0.659,0.99,0.801,0.871,1.237,1.06,1.198,1.251
Fulham,0.554,0.965,0.803,0.705,0.98,0.749,,0.766,0.573,0.749,0.591,0.633,1.024,0.646,1.021,1.105
Leeds,0.695,1.156,0.888,0.641,1.104,0.589,0.95,,0.601,0.777,0.624,0.461,1.08,0.596,0.972,1.04
Liverpool,1.46,2.06,1.822,1.4,2.232,1.509,1.734,1.6,,1.688,1.555,1.353,2.054,1.554,1.735,1.977
London Guns,1.11,1.892,1.6,1.503,2.084,1.377,1.822,1.541,1.3,,1.443,1.39,1.928,1.312,1.729,1.811
Manchester Blue,1.595,2.22,1.991,1.715,2.242,1.736,1.812,1.848,1.412,1.845,,1.343,2.268,1.816,2.111,2.381
Manchester Red,1.272,1.915,1.749,1.45,2.038,1.541,1.686,1.848,1.371,1.556,1.333,,1.906,1.398,1.751,2.064
Newcastle,0.682,1.243,1.055,0.949,1.239,0.775,1.062,1.204,0.711,0.942,0.805,0.852,,0.887,1.16,1.387
Tottenham,1.118,1.771,1.496,1.353,2.069,1.364,1.713,1.446,1.305,1.453,1.392,1.286,1.672,,1.739,1.828
West Ham,1.032,1.623,1.304,1.146,1.491,1.133,1.419,1.288,0.877,1.218,1.21,0.951,1.728,0.988,,1.594
Wolverhampton,1.094,1.688,1.453,1.009,1.622,1.133,1.41,1.351,0.893,1.217,0.997,0.996,1.634,1.159,1.583,
