team,Aston Villa,Bournemouth,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,London Guns,Manchester Blue,Manchester Red,Newcastle,Tottenham,West Ham,Wolverhampton
Aston Villa,,2.331,2.345,2.434,2.655,1.923,2.279,2.04,2.477,2.255,2.749,2.163,2.405,2.29,2.437,2.794
Bournemouth,2.331,,2.12,2.558,2.496,1.99,2.004,1.987,2.779,2.687,2.947,2.645,2.269,2.498,2.603,3.03
Brighton,2.345,2.12,,2.796,2.779,2.064,2.036,1.887,2.628,2.561,2.922,2.595,2.15,2.43,2.532,2.846
Chelsea,2.434,2.558,2.796,,2.78,2.456,2.637,2.411,2.742,3.039,3.098,2.827,3.154,2.794,3.047,3.117
Crystal Palace,2.655,2.496,2.779,2.78,,2.144,2.106,2.106,2.831,3.039,3.14,2.835,2.498,2.85,2.735,2.915
Everton,1.923,1.99,2.064,2.456,2.144,,1.974,1.642,2.168,2.366,2.537,2.412,2.013,2.424,2.331,2.384
Fulham,2.279,2.004,2.036,2.637,2.106,1.974,,1.716,2.307,2.571,2.403,2.319,2.086,2.359,2.44,2.516
Leeds,2.04,1.987,1.887,2.411,2.106,1.642,1.716,,2.201,2.318,2.473,2.308,2.284,2.042,2.26,2.391
Liverpool,2.477,2.779,2.628,2.742,2.831,2.168,2.307,2.201,,2.988,2.967,2.724,2.765,2.859,2.612,2.87
London Guns,2.255,2.687,2.561,3.039,3.039,2.366,2.571,2.318,2.988,,3.288,2.946,2.87,2.764,2.948,3.028
Manchester Blue,2.749,2.947,2.922,3.098,3.14,2.537,2.403,2.473,2.967,3.288,,2.676,3.073,3.208,3.321,3.378
Manchester Red,2.163,2.645,2.595,2.827,2.835,2.412,2.319,2.308,2.724,2.946,2.676,,2.759,2.685,2.702,3.061
Newcastle,2.405,2.269,2.15,3.154,2.498,2.013,2.086,2.284,2.765,2.87,3.073,2.759,,2.559,2.888,3.021
Tottenham,2.29,2.498,2.43,2.794,2.85,2.424,2.359,2.042,2.859,2.764,3.208,2.685,2.559,,2.727,2.987
West Ham,2.437,2.603,2.532,3.047,2.735,2.331,2.44,2.26,2.612,2.948,3.321,2.702,2.888,2.727,,3.177
Wolverhampton,2.794,3.03,2.846,3.117,2.915,2.384,2.516,2.391,2.87,3.028,3.378,3.061,3.021,2.987,3.177,
