team,Aston Villa,Bournemouth,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,London Guns,Manchester Blue,Manchester Red,Newcastle,Tottenham,West Ham,Wolverhampton
Aston Villa,,42.77,50.3,54.84,43.86,49.26,40.62,52.32,54.48,49.23,49.0,56.35,43.69,46.67,49.67,43.16
Bournemouth,42.77,,55.26,49.41,46.5,48.26,50.09,48.54,39.78,50.79,46.07,50.46,47.33,46.67,44.99,45.47
Brighton,50.3,55.26,,44.48,53.39,44.12,54.23,48.43,49.58,50.03,46.33,43.09,45.43,48.34,43.04,52.91
Chelsea,54.84,49.41,44.48,,46.23,47.42,46.86,48.54,51.84,53.79,54.19,63.84,46.43,53.57,42.03,47.27
Crystal Palace,43.86,46.5,53.39,46.23,,51.85,51.56,46.07,43.2,50.97,55.81,60.1,45.27,45.18,50.12,44.55
Everton,49.26,48.26,44.12,47.42,51.85,,53.81,43.26,51.6,42.9,45.3,49.03,45.5,46.62,52.74,54.2
Fulham,40.62,50.09,54.23,46.86,51.56,53.81,,47.79,43.55,59.11,47.03,56.11,47.62,53.29,59.7,51.44
Leeds,52.32,48.54,48.43,48.54,46.07,43.26,47.79,,45.66,51.02,47.5,47.24,55.42,46.26,46.95,54.91
Liverpool,54.48,39.78,49.58,51.84,43.2,51.6,43.55,45.66,,53.8,51.23,46.48,48.99,49.35,53.92,49.02
London Guns,49.23,50.79,50.03,53.79,50.97,42.9,59.11,51.02,53.8,,49.35,53.9,49.74,43.18,44.76,45.81
Manchester Blue,49.0,46.07,46.33,54.19,55.81,45.3,47.03,47.5,51.23,49.35,,53.13,48.57,46.12,43.55,42.07
Manchester Red,56.35,50.46,43.09,63.84,60.1,49.03,56.11,47.24,46.48,53.9,53.13,,46.01,50.06,53.12,48.08
Newcastle,43.69,47.33,45.43,46.43,45.27,45.5,47.62,55.42,48.99,49.74,48.57,46.01,,43.19,54.62,51.52
Tottenham,46.67,46.67,48.34,53.57,45.18,46.62,53.29,46.26,49.35,43.18,46.12,50.06,43.19,,54.27,48.85
West Ham,49.67,44.99,43.04,42.03,50.12,52.74,59.7,46.95,53.92,44.76,43.55,53.12,54.62,54.27,,51.92
Wolverhampton,43.16,45.47,52.91,47.27,44.55,54.2,51.44,54.91,49.02,45.81,42.07,48.08,51.52,48.85,51.92,
