matchday_number,n_slates,pct_slate_sum_odd,avg_md_goals,avg_odd_fixtures
1,839,50.54,20.67699642431466,3.9856972586412396
2,839,49.46,20.67103694874851,3.9487485101311086
3,839,52.68,20.522050059594754,3.940405244338498
4,839,51.37,20.265792610250298,3.9511323003575685
5,839,55.07,20.6984505363528,3.911799761620977
6,839,54.59,20.572109654350417,3.8927294398092966
7,839,48.03,20.65196662693683,3.896305125148987
8,839,51.49,20.64600715137068,3.8164481525625744
9,839,48.51,20.737783075089393,3.934445768772348
10,839,45.77,20.66507747318236,4.028605482717521
11,839,49.58,20.517282479141837,3.9141835518474375
12,839,50.77,20.393325387365913,3.9809296781883194
13,839,49.46,20.66150178784267,3.901072705601907
14,839,51.97,20.476758045292016,3.9165673420738973
15,839,52.21,20.514898688915377,3.868891537544696
16,839,52.21,20.68414779499404,3.938021454112038
17,839,54.11,20.703218116805722,3.928486293206198
18,839,49.94,20.59475566150179,3.9129916567342073
19,839,49.7,20.68295589988081,3.963051251489869
20,839,51.85,20.451728247914183,3.9225268176400476
21,839,50.66,20.528009535160905,3.9201430274135878
22,839,49.94,20.558998808104885,3.99880810488677
23,839,49.23,20.852205005959476,3.896305125148987
24,839,53.4,20.796185935637663,3.9523241954707986
25,839,51.61,20.494636471990464,3.924910607866508
26,839,51.25,20.560190703218115,3.8522050059594757
27,839,51.01,20.612634088200238,3.9094159713945174
28,839,49.46,20.575685339690107,3.8676996424314662
29,839,48.27,20.4088200238379,3.898688915375447
30,839,49.7,20.497020262216925,4.01549463647199
