table_cell,home_rank,away_rank,n,n_odd,avg_rank_sum,pct_odd,pct_even,dominant,dominant_pct
H7_A1,7,1,863,298,8.0,34.53,65.47,Even,65.47
H14_A10,14,10,839,293,24.0,34.92,65.08,Even,65.08
H4_A12,4,12,820,531,16.0,64.76,35.24,Odd,64.76
H1_A13,1,13,847,301,14.0,35.54,64.46,Even,64.46
H5_A16,5,16,834,297,21.0,35.61,64.39,Even,64.39
H14_A8,14,8,858,308,22.0,35.9,64.1,Even,64.1
H7_A15,7,15,830,531,22.0,63.98,36.02,Odd,63.98
H12_A1,12,1,827,524,13.0,63.36,36.64,Odd,63.36
H3_A16,3,16,787,494,19.0,62.77,37.23,Odd,62.77
H11_A5,11,5,851,532,16.0,62.51,37.49,Odd,62.51
H9_A7,9,7,844,318,16.0,37.68,62.32,Even,62.32
H12_A4,12,4,860,535,16.0,62.21,37.79,Odd,62.21
H12_A6,12,6,816,309,18.0,37.87,62.13,Even,62.13
H4_A10,4,10,879,545,14.0,62.0,38.0,Odd,62.0
H9_A2,9,2,869,331,11.0,38.09,61.91,Even,61.91
H12_A5,12,5,773,478,17.0,61.84,38.16,Odd,61.84
H15_A2,15,2,818,313,17.0,38.26,61.74,Even,61.74
H1_A9,1,9,833,514,10.0,61.7,38.3,Odd,61.7
H3_A10,3,10,838,516,13.0,61.58,38.42,Odd,61.58
H15_A12,15,12,824,503,27.0,61.04,38.96,Odd,61.04
H8_A3,8,3,816,318,11.0,38.97,61.03,Even,61.03
H16_A11,16,11,816,320,27.0,39.22,60.78,Even,60.78
H13_A6,13,6,857,338,19.0,39.44,60.56,Even,60.56
H10_A3,10,3,844,334,13.0,39.57,60.43,Even,60.43
H6_A10,6,10,796,316,16.0,39.7,60.3,Even,60.3
H7_A10,7,10,828,499,17.0,60.27,39.73,Odd,60.27
H15_A10,15,10,843,335,25.0,39.74,60.26,Even,60.26
H8_A6,8,6,857,343,14.0,40.02,59.98,Even,59.98
H6_A16,6,16,841,504,22.0,59.93,40.07,Odd,59.93
H4_A14,4,14,864,517,18.0,59.84,40.16,Odd,59.84
H4_A15,4,15,816,328,19.0,40.2,59.8,Even,59.8
H6_A12,6,12,817,487,18.0,59.61,40.39,Odd,59.61
H2_A13,2,13,835,339,15.0,40.6,59.4,Even,59.4
H5_A8,5,8,844,343,13.0,40.64,59.36,Even,59.36
H2_A1,2,1,845,344,3.0,40.71,59.29,Even,59.29
H1_A14,1,14,859,350,15.0,40.75,59.25,Even,59.25
H3_A5,3,5,897,530,8.0,59.09,40.91,Odd,59.09
H6_A11,6,11,849,348,17.0,40.99,59.01,Even,59.01
H7_A12,7,12,827,487,19.0,58.89,41.11,Odd,58.89
H4_A3,4,3,840,346,7.0,41.19,58.81,Even,58.81
H13_A7,13,7,852,351,20.0,41.2,58.8,Even,58.8
H13_A3,13,3,830,342,16.0,41.2,58.8,Even,58.8
H12_A8,12,8,850,351,20.0,41.29,58.71,Even,58.71
H13_A14,13,14,857,354,27.0,41.31,58.69,Even,58.69
H12_A16,12,16,854,353,28.0,41.33,58.67,Even,58.67
H15_A13,15,13,846,495,28.0,58.51,41.49,Odd,58.51
H7_A3,7,3,840,490,10.0,58.33,41.67,Odd,58.33
H15_A3,15,3,848,354,18.0,41.75,58.25,Even,58.25
H15_A14,15,14,828,482,29.0,58.21,41.79,Odd,58.21
H13_A8,13,8,845,491,21.0,58.11,41.89,Odd,58.11
H11_A13,11,13,860,361,24.0,41.98,58.02,Even,58.02
H5_A12,5,12,859,498,17.0,57.97,42.03,Odd,57.97
H12_A3,12,3,835,351,15.0,42.04,57.96,Even,57.96
H5_A15,5,15,826,478,20.0,57.87,42.13,Odd,57.87
H11_A8,11,8,823,347,19.0,42.16,57.84,Even,57.84
H9_A8,9,8,829,351,17.0,42.34,57.66,Even,57.66
H5_A1,5,1,812,344,6.0,42.36,57.64,Even,57.64
H7_A16,7,16,865,498,23.0,57.57,42.43,Odd,57.57
H15_A4,15,4,831,353,19.0,42.48,57.52,Even,57.52
H1_A4,1,4,846,485,5.0,57.33,42.67,Odd,57.33
H2_A12,2,12,869,498,14.0,57.31,42.69,Odd,57.31
H8_A14,8,14,861,493,22.0,57.26,42.74,Odd,57.26
H15_A5,15,5,842,360,20.0,42.76,57.24,Even,57.24
H9_A5,9,5,856,366,14.0,42.76,57.24,Even,57.24
H1_A16,1,16,806,346,17.0,42.93,57.07,Even,57.07
H6_A15,6,15,878,501,21.0,57.06,42.94,Odd,57.06
H6_A3,6,3,824,354,9.0,42.96,57.04,Even,57.04
H2_A9,2,9,820,353,11.0,43.05,56.95,Even,56.95
H15_A11,15,11,808,348,26.0,43.07,56.93,Even,56.93
H14_A13,14,13,816,352,27.0,43.14,56.86,Even,56.86
H5_A14,5,14,816,352,19.0,43.14,56.86,Even,56.86
H5_A9,5,9,862,372,14.0,43.16,56.84,Even,56.84
H3_A12,3,12,873,377,15.0,43.18,56.82,Even,56.82
H4_A5,4,5,838,362,9.0,43.2,56.8,Even,56.8
H4_A16,4,16,838,362,20.0,43.2,56.8,Even,56.8
H15_A9,15,9,848,481,24.0,56.72,43.28,Odd,56.72
H12_A10,12,10,841,476,22.0,56.6,43.4,Odd,56.6
H10_A7,10,7,841,475,17.0,56.48,43.52,Odd,56.48
