home_tier,away_tier,n,n_odd,avg_rank_sum,pct_odd,pct_even,dominant,dominant_pct
T1,T4,13275,6147,16.991035781544255,46.31,53.69,Even,53.69
T4,T1,13324,6254,17.002026418492946,46.94,53.06,Even,53.06
T2,T1,13405,6315,8.996717642670646,47.11,52.89,Even,52.89
T3,T4,13406,6373,24.99567357899448,47.54,52.46,Even,52.46
T2,T4,13493,7023,21.01252501296969,52.05,47.95,Odd,52.05
T4,T2,13408,6441,20.99903042959427,48.04,51.96,Even,51.96
T4,T3,13314,6401,24.9936157428271,48.08,51.92,Even,51.92
T1,T3,13437,6933,13.003348961821835,51.6,48.4,Odd,51.6
T3,T3,10092,5192,21.00822433610781,51.45,48.55,Odd,51.45
T3,T2,13329,6516,16.987320879285768,48.89,51.11,Even,51.11
T2,T2,10018,4911,13.001497304851268,49.02,50.98,Even,50.98
T1,T2,13483,6621,8.990209893940518,49.11,50.89,Even,50.89
T1,T1,10079,4977,5.011112213513245,49.38,50.62,Even,50.62
T4,T4,10161,5141,29.007184332250763,50.6,49.4,Odd,50.6
T2,T3,13403,6762,17.00813250764754,50.45,49.55,Odd,50.45
T3,T1,13493,6695,13.001259912547246,49.62,50.38,Even,50.38
