group,n,top1_scoreline,top1_pct,top2_scoreline,top2_pct,entropy_scoreline,mean_total_goals,pct_draw
H12_A1,893,0:1,16.8,1:1,10.08,3.97,2.458,22.06
H16_A1,724,0:1,16.71,0:2,13.12,3.955,2.568,18.23
H11_A16,885,1:0,15.93,1:1,11.53,3.935,2.436,23.95
H14_A1,819,0:1,15.87,1:1,11.97,4.015,2.536,24.18
H14_A3,801,0:1,15.86,1:1,10.99,4.073,2.544,23.35
H13_A1,803,0:1,15.82,1:1,11.08,4.063,2.621,22.91
H5_A15,825,2:0,15.76,1:0,11.39,3.938,2.686,20.36
H4_A13,807,2:0,15.74,1:0,11.28,4.086,2.848,18.84
H16_A2,868,0:1,15.67,1:2,13.48,3.882,2.439,21.89
H16_A5,876,0:1,15.64,1:2,11.76,3.973,2.445,21.23
H6_A15,806,2:0,15.63,2:1,12.78,3.962,2.663,20.35
H9_A16,833,1:0,15.61,2:0,13.69,3.942,2.487,20.05
H1_A10,836,2:0,15.55,1:0,10.89,3.988,2.745,17.22
H14_A15,970,1:1,15.36,1:0,12.68,3.964,2.333,31.03
H12_A8,814,1:1,15.36,1:0,11.67,3.974,2.284,32.68
H2_A16,730,1:0,15.34,2:1,12.33,3.936,2.744,15.21
H10_A15,860,1:0,15.23,1:1,11.4,3.965,2.387,23.02
H16_A3,856,0:1,15.19,0:2,13.32,3.946,2.54,18.57
H8_A16,824,1:0,15.17,1:1,13.59,3.947,2.517,24.15
H13_A8,825,1:1,15.15,0:1,10.55,4.113,2.505,30.3
H7_A8,819,1:1,15.14,1:0,10.13,4.067,2.557,26.74
H16_A8,924,0:1,15.04,1:1,11.47,4.053,2.431,25.22
H1_A14,766,2:0,15.01,1:0,13.05,3.928,2.731,18.28
H8_A1,931,0:1,14.93,1:1,11.17,4.035,2.517,22.88
H7_A16,726,1:0,14.88,2:0,12.95,3.925,2.569,20.94
H4_A16,753,1:0,14.87,2:0,13.28,3.914,2.661,18.86
H16_A7,936,0:1,14.85,1:1,12.39,4.032,2.435,24.15
H13_A10,862,1:1,14.85,2:1,9.4,4.132,2.59,27.61
H16_A4,824,0:1,14.81,0:2,11.41,4.015,2.573,22.09
H5_A16,771,1:0,14.79,2:0,13.36,3.928,2.616,20.36
H9_A14,785,1:1,14.78,1:0,13.12,3.939,2.386,29.81
H12_A6,854,1:1,14.64,0:1,11.48,4.088,2.498,25.29
H4_A15,745,2:0,14.63,1:0,12.35,4.012,2.773,18.12
H15_A6,837,0:1,14.58,1:1,10.63,4.027,2.442,24.37
H3_A16,764,2:0,14.53,1:0,13.09,3.967,2.832,16.88
H15_A8,860,0:1,14.42,1:1,11.86,3.955,2.305,25.35
H15_A5,826,0:1,14.41,1:1,11.86,4.018,2.492,25.18
H10_A1,856,0:1,14.37,1:2,9.11,4.138,2.614,22.55
H15_A16,877,1:1,14.37,1:0,10.72,3.889,2.342,30.67
H16_A14,871,1:1,14.35,0:1,13.43,3.888,2.284,27.44
H13_A16,941,1:1,14.35,1:0,13.5,3.896,2.37,26.35
H3_A15,851,1:0,14.34,2:0,13.51,4.019,2.749,16.45
H4_A14,803,1:0,14.32,1:1,12.7,3.947,2.643,22.17
H4_A12,807,1:0,14.25,2:0,12.76,4.062,2.7,21.19
H6_A13,815,2:0,14.23,1:0,11.78,3.911,2.474,25.03
H15_A9,900,0:1,14.22,1:1,13.44,4.021,2.411,25.89
H6_A14,794,2:0,14.11,2:1,10.45,4.07,2.654,20.4
