group,n,top1_scoreline,top1_pct,top2_scoreline,top2_pct,entropy_scoreline,mean_total_goals,pct_draw
T4xT1,12889,0:1,14.05,0:2,11.13,4.051,2.55,22.59
T4xT2,13356,0:1,13.6,1:1,11.91,4.075,2.455,25.11
T4xT4,10397,1:1,13.56,1:0,11.73,3.994,2.329,27.83
T3xT4,13043,1:0,13.4,1:1,12.6,4.016,2.415,26.13
T2xT4,12320,2:0,13.29,1:0,12.62,4.026,2.609,21.75
T1xT4,11956,2:0,13.28,1:0,12.86,4.01,2.78,18.4
T1xT3,12726,2:0,12.92,1:0,11.32,4.127,2.79,19.86
T3xT1,12947,0:1,12.66,1:1,11.2,4.12,2.546,24.45
T3xT3,9856,1:1,12.61,1:0,11.65,4.104,2.477,26.89
T3xT2,13171,1:1,12.51,0:1,9.93,4.14,2.483,26.36
T4xT3,13538,1:1,12.44,0:1,10.94,4.08,2.392,27.29
T2xT2,9819,1:1,11.8,1:0,9.78,4.191,2.606,25.0
T2xT3,12767,1:1,11.47,2:0,11.37,4.131,2.596,24.09
T2xT1,13715,1:1,11.36,0:1,9.61,4.224,2.647,24.18
T1xT2,12947,2:0,10.9,1:1,10.21,4.202,2.742,21.77
T1xT1,10361,1:1,10.62,2:1,9.28,4.248,2.765,22.02
