team,tier_x1,role,n,top_scoreline_ha,top_pct_ha,top2_scoreline_ha,top2_pct_ha,top_team_view,top_pct_team_view,mean_team_goals,mean_opp_goals,pct_win,pct_draw,pct_loss,mean_total_goals
Aston Villa,T1,away,4309,0:1,13.27,1:1,12.6,1:0,13.27,1.278,1.096,44.35,23.81,31.84,2.374
Aston Villa,T1,home,4164,1:0,13.69,2:0,13.33,1:0,13.69,1.607,0.819,56.82,22.89,20.29,2.426
Aston Villa,T2,away,4727,1:1,13.56,0:1,12.16,1:1,13.56,1.254,1.135,39.83,26.36,33.81,2.388
Aston Villa,T2,home,4645,1:1,12.34,1:0,11.52,1:1,12.34,1.47,0.906,48.55,26.54,24.91,2.376
Aston Villa,T3,away,2452,1:1,13.62,0:1,12.03,1:1,13.62,1.102,1.184,34.34,26.47,39.19,2.286
Aston Villa,T3,home,2411,1:1,13.4,1:0,11.99,1:1,13.4,1.435,0.926,46.25,28.62,25.13,2.361
Aston Villa,T4,away,835,1:1,14.97,0:1,11.86,1:1,14.97,1.037,1.281,30.9,26.47,42.63,2.319
Aston Villa,T4,home,967,1:1,16.75,1:0,13.24,1:1,16.75,1.376,0.975,43.02,29.06,27.92,2.352
Bournemouth,T1,away,247,1:0,18.22,1:1,14.17,0:1,18.22,0.781,1.652,15.38,24.7,59.92,2.433
Bournemouth,T1,home,184,1:2,12.5,0:1,11.96,1:2,12.5,0.957,1.353,28.26,25.0,46.74,2.31
Bournemouth,T2,away,1183,1:1,16.4,1:0,14.54,1:1,16.4,0.858,1.664,20.54,25.27,54.18,2.522
Bournemouth,T2,home,1064,0:1,13.53,1:1,12.78,0:1,13.53,0.923,1.407,24.62,28.29,47.09,2.33
Bournemouth,T3,away,3746,1:1,13.21,1:0,12.25,1:1,13.21,0.795,1.788,16.18,25.49,58.33,2.584
Bournemouth,T3,home,3671,1:1,13.27,0:1,12.64,1:1,13.27,1.004,1.282,29.34,29.5,41.16,2.287
Bournemouth,T4,away,7051,1:0,13.6,1:1,12.66,0:1,13.6,0.758,1.782,15.66,23.32,61.03,2.541
Bournemouth,T4,home,7359,0:1,13.51,1:1,11.7,0:1,13.51,0.961,1.466,24.32,26.27,49.41,2.428
Brighton,T1,away,1168,1:1,13.7,0:1,11.9,1:1,13.7,0.986,1.463,29.97,25.34,44.69,2.449
Brighton,T1,home,1056,1:0,13.92,1:1,11.27,1:0,13.92,1.316,1.033,45.27,26.23,28.5,2.349
Brighton,T2,away,3440,1:1,12.82,2:0,11.54,1:1,12.82,0.942,1.55,25.06,25.06,49.88,2.492
Brighton,T2,home,3278,1:0,13.27,1:1,11.74,1:0,13.27,1.276,1.138,43.17,25.35,31.48,2.415
Brighton,T3,away,4639,1:1,12.18,2:0,11.66,1:1,12.18,0.947,1.52,25.63,25.54,48.83,2.466
Brighton,T3,home,4700,1:1,13.51,1:0,12.45,1:1,13.51,1.232,1.18,39.98,26.21,33.81,2.411
Brighton,T4,away,2987,2:0,13.12,1:0,12.96,0:2,13.12,0.912,1.593,22.03,23.23,54.74,2.505
Brighton,T4,home,3240,1:1,14.26,0:1,11.6,1:1,14.26,1.182,1.252,35.4,27.16,37.44,2.434
Chelsea,T1,away,6492,1:1,11.08,0:1,9.84,1:1,11.08,1.559,1.244,45.96,23.69,30.35,2.803
Chelsea,T1,home,6342,2:0,11.78,1:0,11.37,2:0,11.78,1.89,0.945,61.67,18.83,19.5,2.835
Chelsea,T2,away,4125,1:1,11.03,1:2,9.07,1:1,11.03,1.498,1.179,43.61,25.94,30.45,2.677
Chelsea,T2,home,4125,2:0,11.61,1:0,10.23,2:0,11.61,1.856,0.994,58.25,20.87,20.87,2.849
Chelsea,T3,away,1315,1:1,11.48,1:2,9.51,1:1,11.48,1.434,1.296,41.9,24.26,33.84,2.73
Chelsea,T3,home,1403,2:0,12.69,1:1,10.48,2:0,12.69,1.68,1.041,52.74,23.38,23.88,2.721
Chelsea,T4,away,325,1:1,12.62,1:2,12.0,1:1,12.62,1.582,1.268,46.77,23.38,29.85,2.849
Chelsea,T4,home,385,1:1,10.65,1:0,10.39,1:1,10.65,1.87,0.971,60.78,17.4,21.82,2.842
Crystal Palace,T1,away,384,1:0,12.24,2:0,11.98,0:1,12.24,0.891,1.734,24.22,19.53,56.25,2.625
Crystal Palace,T1,home,321,1:1,16.2,0:1,14.33,1:1,16.2,1.028,1.268,30.53,29.28,40.19,2.296
Crystal Palace,T2,away,1367,2:0,15.73,1:1,9.44,0:2,15.73,0.865,1.847,19.46,19.97,60.57,2.712
Crystal Palace,T2,home,1250,1:1,12.08,1:0,10.4,1:1,12.08,1.222,1.386,33.92,26.0,40.08,2.608
Crystal Palace,T3,away,3802,2:0,11.81,1:1,10.13,0:2,11.81,0.844,1.843,18.81,21.88,59.31,2.687
Crystal Palace,T3,home,3832,1:1,15.01,0:1,9.73,1:1,15.01,1.164,1.447,29.41,28.63,41.96,2.611
Crystal Palace,T4,away,6701,1:0,11.57,2:1,11.57,0:1,11.57,0.835,1.854,16.73,21.89,61.38,2.689
Crystal Palace,T4,home,6840,1:1,12.76,0:1,10.77,1:1,12.76,1.096,1.573,25.6,26.67,47.73,2.669
Everton,T1,away,1745,0:1,14.38,1:1,12.78,1:0,14.38,1.039,1.183,36.22,26.25,37.54,2.222
Everton,T1,home,1608,1:0,13.12,0:0,12.56,1:0,13.12,1.247,0.946,45.15,29.23,25.62,2.193
Everton,T2,away,3917,1:0,13.66,1:1,12.36,0:1,13.66,0.914,1.274,28.93,27.21,43.86,2.188
Everton,T2,home,3880,1:0,13.53,1:1,12.27,1:0,13.53,1.269,0.922,46.55,26.21,27.24,2.191
Everton,T3,away,4453,1:0,12.91,1:1,12.76,0:1,12.91,0.887,1.379,25.17,27.02,47.81,2.266
Everton,T3,home,4486,1:0,13.6,1:1,13.53,1:0,13.6,1.161,0.947,41.71,28.13,30.16,2.108
Everton,T4,away,2142,1:1,14.43,1:0,12.56,1:1,14.43,0.838,1.394,23.2,28.38,48.41,2.232
Everton,T4,home,2275,0:1,12.35,1:1,12.18,0:1,12.35,1.095,1.01,39.21,26.24,34.55,2.105
Fulham,T1,away,276,0:1,16.67,1:0,13.04,1:0,16.67,0.953,1.38,34.42,19.57,46.01,2.333
Fulham,T1,home,310,0:0,19.35,0:2,12.9,0:0,19.35,0.848,1.155,24.84,32.58,42.58,2.003
Fulham,T2,away,1159,1:0,14.32,2:0,14.24,0:1,14.32,0.772,1.511,23.38,20.88,55.74,2.283
Fulham,T2,home,1033,0:1,12.88,1:1,11.52,0:1,12.88,0.825,1.321,25.56,27.11,47.34,2.146
Fulham,T3,away,3488,2:0,15.19,1:0,13.65,0:2,15.19,0.742,1.594,18.35,23.6,58.06,2.336
Fulham,T3,home,3357,0:1,13.76,1:1,12.84,0:1,13.76,0.889,1.261,28.51,27.11,44.38,2.15
Fulham,T4,away,7303,1:0,16.21,2:0,13.34,0:1,16.21,0.689,1.664,14.72,23.57,61.71,2.353
Fulham,T4,home,7582,0:1,16.99,1:1,11.51,0:1,16.99,0.857,1.316,24.39,25.22,50.4,2.173
Leeds,T1,away,380,1:1,14.47,0:1,12.37,1:1,14.47,0.774,1.4,23.42,28.95,47.63,2.174
Leeds,T1,home,388,0:1,13.4,1:1,12.37,0:1,13.4,0.977,1.276,31.19,26.55,42.27,2.253
Leeds,T2,away,1618,1:1,12.18,0:0,11.62,1:1,12.18,0.845,1.456,24.47,29.17,46.35,2.302
