season_name,matchday_number,md_total_goals,md_sum_odd,md_n_odd_fixtures,md_n_even_fixtures,md_avg_goals
VFLM 3137,1,28,0,4,4,3.5
VFLM 3137,2,21,1,5,3,2.625
VFLM 3137,3,21,1,3,5,2.625
VFLM 3137,4,17,1,1,7,2.125
VFLM 3137,5,25,1,5,3,3.125
VFLM 3137,6,21,1,5,3,2.625
VFLM 3137,7,19,1,5,3,2.375
VFLM 3137,8,19,1,5,3,2.375
VFLM 3137,9,22,0,6,2,2.75
VFLM 3137,10,19,1,3,5,2.375
VFLM 3137,11,18,0,4,4,2.25
VFLM 3137,12,10,0,2,6,1.25
VFLM 3137,13,26,0,4,4,3.25
VFLM 3137,14,10,0,4,4,1.25
VFLM 3137,15,23,1,3,5,2.875
VFLM 3137,16,22,0,6,2,2.75
VFLM 3137,17,14,0,4,4,1.75
VFLM 3137,18,22,0,4,4,2.75
VFLM 3137,19,31,1,5,3,3.875
VFLM 3137,20,21,1,5,3,2.625
VFLM 3137,21,17,1,3,5,2.125
VFLM 3137,22,27,1,1,7,3.375
VFLM 3137,23,20,0,4,4,2.5
VFLM 3137,24,25,1,3,5,3.125
VFLM 3137,25,20,0,4,4,2.5
VFLM 3137,26,18,0,4,4,2.25
VFLM 3137,27,26,0,2,6,3.25
VFLM 3137,28,15,1,5,3,1.875
VFLM 3137,29,24,0,4,4,3.0
VFLM 3137,30,20,0,4,4,2.5
VFLM 3138,1,20,0,2,6,2.5
VFLM 3138,2,18,0,2,6,2.25
VFLM 3138,3,22,0,4,4,2.75
VFLM 3138,4,19,1,5,3,2.375
VFLM 3138,5,20,0,6,2,2.5
VFLM 3138,6,23,1,5,3,2.875
VFLM 3138,7,22,0,2,6,2.75
VFLM 3138,8,16,0,2,6,2.0
VFLM 3138,9,22,0,6,2,2.75
VFLM 3138,10,26,0,4,4,3.25
VFLM 3138,11,20,0,4,4,2.5
VFLM 3138,12,16,0,6,2,2.0
VFLM 3138,13,21,1,1,7,2.625
VFLM 3138,14,15,1,1,7,1.875
VFLM 3138,15,23,1,5,3,2.875
VFLM 3138,16,17,1,7,1,2.125
VFLM 3138,17,19,1,5,3,2.375
VFLM 3138,18,11,1,5,3,1.375
VFLM 3138,19,15,1,3,5,1.875
VFLM 3138,20,24,0,2,6,3.0
VFLM 3138,21,12,0,6,2,1.5
VFLM 3138,22,18,0,6,2,2.25
VFLM 3138,23,26,0,4,4,3.25
VFLM 3138,24,19,1,3,5,2.375
VFLM 3138,25,17,1,5,3,2.125
VFLM 3138,26,28,0,6,2,3.5
VFLM 3138,27,21,1,3,5,2.625
VFLM 3138,28,25,1,5,3,3.125
VFLM 3138,29,27,1,3,5,3.375
VFLM 3138,30,27,1,5,3,3.375
VFLM 3139,1,16,0,4,4,2.0
VFLM 3139,2,12,0,4,4,1.5
VFLM 3139,3,20,0,4,4,2.5
VFLM 3139,4,17,1,3,5,2.125
VFLM 3139,5,26,0,4,4,3.25
VFLM 3139,6,26,0,4,4,3.25
VFLM 3139,7,16,0,4,4,2.0
VFLM 3139,8,20,0,2,6,2.5
VFLM 3139,9,29,1,3,5,3.625
VFLM 3139,10,25,1,5,3,3.125
VFLM 3139,11,25,1,3,5,3.125
VFLM 3139,12,21,1,1,7,2.625
VFLM 3139,13,23,1,5,3,2.875
VFLM 3139,14,28,0,4,4,3.5
VFLM 3139,15,19,1,3,5,2.375
VFLM 3139,16,18,0,2,6,2.25
VFLM 3139,17,21,1,5,3,2.625
VFLM 3139,18,19,1,5,3,2.375
VFLM 3139,19,15,1,3,5,1.875
VFLM 3139,20,23,1,3,5,2.875
VFLM 3139,21,22,0,4,4,2.75
VFLM 3139,22,23,1,3,5,2.875
VFLM 3139,23,22,0,4,4,2.75
VFLM 3139,24,21,1,3,5,2.625
VFLM 3139,25,19,1,5,3,2.375
VFLM 3139,26,11,1,3,5,1.375
VFLM 3139,27,18,0,6,2,2.25
VFLM 3139,28,25,1,1,7,3.125
VFLM 3139,29,24,0,2,6,3.0
VFLM 3139,30,20,0,2,6,2.5
VFLM 3140,1,23,1,5,3,2.875
VFLM 3140,2,18,0,4,4,2.25
VFLM 3140,3,24,0,4,4,3.0
VFLM 3140,4,23,1,5,3,2.875
VFLM 3140,5,21,1,5,3,2.625
VFLM 3140,6,18,0,4,4,2.25
VFLM 3140,7,24,0,2,6,3.0
VFLM 3140,8,20,0,2,6,2.5
VFLM 3140,9,19,1,5,3,2.375
VFLM 3140,10,30,0,4,4,3.75
VFLM 3140,11,23,1,3,5,2.875
VFLM 3140,12,22,0,4,4,2.75
VFLM 3140,13,16,0,4,4,2.0
VFLM 3140,14,22,0,6,2,2.75
VFLM 3140,15,16,0,4,4,2.0
VFLM 3140,16,23,1,1,7,2.875
VFLM 3140,17,21,1,3,5,2.625
VFLM 3140,18,24,0,6,2,3.0
VFLM 3140,19,21,1,3,5,2.625
VFLM 3140,20,29,1,5,3,3.625
VFLM 3140,21,27,1,3,5,3.375
VFLM 3140,22,14,0,6,2,1.75
VFLM 3140,23,12,0,4,4,1.5
VFLM 3140,24,22,0,6,2,2.75
VFLM 3140,25,13,1,3,5,1.625
VFLM 3140,26,17,1,3,5,2.125
VFLM 3140,27,20,0,6,2,2.5
VFLM 3140,28,14,0,2,6,1.75
VFLM 3140,29,15,1,3,5,1.875
VFLM 3140,30,19,1,5,3,2.375
VFLM 3141,1,16,0,2,6,2.0
VFLM 3141,2,21,1,3,5,2.625
VFLM 3141,3,22,0,4,4,2.75
VFLM 3141,4,23,1,5,3,2.875
VFLM 3141,5,18,0,2,6,2.25
VFLM 3141,6,23,1,5,3,2.875
VFLM 3141,7,20,0,4,4,2.5
VFLM 3141,8,19,1,3,5,2.375
VFLM 3141,9,20,0,6,2,2.5
VFLM 3141,10,21,1,3,5,2.625
VFLM 3141,11,17,1,1,7,2.125
VFLM 3141,12,20,0,2,6,2.5
VFLM 3141,13,14,0,4,4,1.75
VFLM 3141,14,31,1,5,3,3.875
VFLM 3141,15,24,0,6,2,3.0
VFLM 3141,16,31,1,5,3,3.875
VFLM 3141,17,16,0,2,6,2.0
VFLM 3141,18,27,1,5,3,3.375
VFLM 3141,19,23,1,3,5,2.875
VFLM 3141,20,19,1,3,5,2.375
VFLM 3141,21,20,0,4,4,2.5
VFLM 3141,22,24,0,4,4,3.0
VFLM 3141,23,22,0,0,8,2.75
VFLM 3141,24,17,1,3,5,2.125
VFLM 3141,25,20,0,6,2,2.5
VFLM 3141,26,23,1,5,3,2.875
VFLM 3141,27,17,1,5,3,2.125
VFLM 3141,28,18,0,2,6,2.25
VFLM 3141,29,19,1,5,3,2.375
VFLM 3141,30,25,1,3,5,3.125
VFLM 3142,1,18,0,4,4,2.25
VFLM 3142,2,20,0,4,4,2.5
VFLM 3142,3,23,1,5,3,2.875
VFLM 3142,4,22,0,2,6,2.75
VFLM 3142,5,20,0,6,2,2.5
VFLM 3142,6,22,0,2,6,2.75
VFLM 3142,7,15,1,3,5,1.875
