team,opponent,role,n,mean_team_goals,mean_opp_goals,mean_total,pct_odd_total,pct_win
Aston Villa,Bournemouth,away,865,1.505,0.844,2.349,39.77,58.15
Aston Villa,Bournemouth,home,809,1.712,0.6,2.311,45.98,57.97
Aston Villa,Brighton,away,852,1.113,1.109,2.222,56.46,38.62
Aston Villa,Brighton,home,828,1.671,0.8,2.471,43.96,50.85
Aston Villa,Chelsea,away,842,0.988,1.361,2.349,50.83,25.3
Aston Villa,Chelsea,home,874,1.305,1.211,2.516,58.7,39.59
Aston Villa,Crystal Palace,away,825,1.772,0.793,2.565,41.7,60.61
Aston Villa,Crystal Palace,home,835,2.089,0.656,2.745,45.99,67.66
Aston Villa,Everton,away,829,0.76,1.148,1.908,46.08,21.95
Aston Villa,Everton,home,864,1.337,0.601,1.938,52.31,54.4
Aston Villa,Fulham,away,865,1.56,0.54,2.099,34.45,59.88
Aston Villa,Fulham,home,856,1.894,0.568,2.461,46.85,69.63
Aston Villa,Leeds,away,837,1.192,0.692,1.884,54.36,53.88
Aston Villa,Leeds,home,822,1.5,0.698,2.198,50.24,57.42
Aston Villa,Liverpool,away,813,0.9,1.685,2.585,46.74,16.24
Aston Villa,Liverpool,home,839,1.13,1.242,2.372,61.98,35.04
Aston Villa,London Guns,away,897,1.078,1.353,2.431,49.61,27.98
Aston Villa,London Guns,home,864,1.214,0.858,2.072,48.84,48.61
Aston Villa,Manchester Blue,away,860,1.098,1.802,2.9,52.79,25.23
Aston Villa,Manchester Blue,home,840,1.211,1.383,2.594,45.12,34.05
Aston Villa,Manchester Red,away,846,0.862,1.494,2.356,63.71,26.71
Aston Villa,Manchester Red,home,824,0.921,1.045,1.966,48.79,31.07
Aston Villa,Newcastle,away,846,1.616,0.862,2.478,52.01,55.56
Aston Villa,Newcastle,home,850,1.829,0.504,2.333,35.41,69.18
Aston Villa,Tottenham,away,859,1.003,1.234,2.237,51.92,29.45
Aston Villa,Tottenham,home,870,1.338,1.003,2.341,41.49,36.55
Aston Villa,West Ham,away,833,1.193,0.99,2.184,51.5,44.3
Aston Villa,West Ham,home,838,1.615,1.074,2.689,47.85,51.07
Aston Villa,Wolverhampton,away,888,1.62,1.208,2.829,43.47,51.58
Aston Villa,Wolverhampton,home,815,1.788,0.969,2.757,42.82,55.46
Bournemouth,Aston Villa,away,809,0.6,1.712,2.311,45.98,11.25
Bournemouth,Aston Villa,home,865,0.844,1.505,2.349,39.77,21.73
Bournemouth,Brighton,away,839,0.77,1.482,2.251,55.42,11.8
Bournemouth,Brighton,home,862,0.961,1.031,1.992,55.1,33.18
Bournemouth,Chelsea,away,843,0.657,2.16,2.817,54.45,9.49
Bournemouth,Chelsea,home,855,0.752,1.55,2.302,44.44,14.74
Bournemouth,Crystal Palace,away,858,1.167,1.516,2.683,48.02,28.21
Bournemouth,Crystal Palace,home,843,1.288,1.017,2.305,44.96,42.82
Bournemouth,Everton,away,875,0.585,1.329,1.914,44.46,18.63
Bournemouth,Everton,home,851,0.796,1.273,2.068,52.17,20.68
Bournemouth,Fulham,away,864,0.924,1.111,2.035,51.39,30.9
Bournemouth,Fulham,home,835,1.159,0.813,1.972,48.74,43.59
Bournemouth,Leeds,away,837,0.703,1.337,2.039,48.39,19.24
Bournemouth,Leeds,home,844,0.959,0.976,1.935,48.7,30.81
Bournemouth,Liverpool,away,884,0.665,2.146,2.811,37.44,11.09
Bournemouth,Liverpool,home,838,0.776,1.969,2.745,42.24,11.46
Bournemouth,London Guns,away,835,0.692,2.212,2.904,54.49,11.26
Bournemouth,London Guns,home,872,0.894,1.585,2.479,47.25,21.79
Bournemouth,Manchester Blue,away,817,0.659,2.348,3.006,45.78,6.12
Bournemouth,Manchester Blue,home,839,0.794,2.097,2.89,46.36,14.54
Bournemouth,Manchester Red,away,868,0.691,2.094,2.786,43.55,6.68
Bournemouth,Manchester Red,home,870,0.769,1.736,2.505,57.36,17.24
Bournemouth,Newcastle,away,848,0.899,1.311,2.21,54.01,30.19
Bournemouth,Newcastle,home,836,1.154,1.175,2.329,40.55,34.69
Bournemouth,Tottenham,away,834,0.644,2.112,2.755,47.72,7.07
Bournemouth,Tottenham,home,803,0.814,1.417,2.232,45.58,17.56
Bournemouth,West Ham,away,836,0.87,1.81,2.679,37.56,15.79
Bournemouth,West Ham,home,842,1.089,1.437,2.526,52.38,31.24
Bournemouth,Wolverhampton,away,825,1.171,1.899,3.07,46.42,27.03
Bournemouth,Wolverhampton,home,853,1.508,1.484,2.992,44.55,31.89
Brighton,Aston Villa,away,828,0.8,1.671,2.471,43.96,13.29
Brighton,Aston Villa,home,852,1.109,1.113,2.222,56.46,36.5
Brighton,Bournemouth,away,862,1.031,0.961,1.992,55.1,38.75
Brighton,Bournemouth,home,839,1.482,0.77,2.251,55.42,60.91
Brighton,Chelsea,away,841,0.803,1.924,2.727,41.26,12.72
Brighton,Chelsea,home,879,1.232,1.63,2.862,47.55,32.99
Brighton,Crystal Palace,away,864,1.787,1.231,3.019,47.92,46.18
Brighton,Crystal Palace,home,904,1.489,1.062,2.551,58.63,54.2
Brighton,Everton,away,825,0.644,1.177,1.821,42.91,19.76
Brighton,Everton,home,884,1.398,0.894,2.292,45.25,54.41
Brighton,Fulham,away,844,1.114,0.865,1.979,58.53,47.87
Brighton,Fulham,home,823,1.355,0.74,2.095,49.82,53.58
Brighton,Leeds,away,832,1.031,0.906,1.938,40.14,35.22
Brighton,Leeds,home,851,0.967,0.87,1.837,56.52,36.43
Brighton,Liverpool,away,834,0.592,2.101,2.693,51.8,12.95
Brighton,Liverpool,home,830,1.022,1.541,2.563,47.35,26.75
Brighton,London Guns,away,845,0.869,1.925,2.794,39.64,15.62
Brighton,London Guns,home,856,1.053,1.279,2.332,60.28,32.94
