team,opponent,n,mean_team_goals,mean_opp_goals,mean_total,pct_odd_total
Aston Villa,Crystal Palace,1660,1.931,0.724,2.655,43.86
Aston Villa,Fulham,1721,1.726,0.554,2.279,40.62
Aston Villa,Newcastle,1696,1.723,0.682,2.405,43.69
Aston Villa,Wolverhampton,1703,1.701,1.094,2.794,43.16
Aston Villa,Bournemouth,1674,1.605,0.726,2.331,42.77
Aston Villa,West Ham,1671,1.405,1.032,2.437,49.67
Aston Villa,Brighton,1680,1.388,0.957,2.345,50.3
Aston Villa,Leeds,1659,1.345,0.695,2.04,52.32
Aston Villa,Tottenham,1729,1.172,1.118,2.29,46.67
Aston Villa,Manchester Blue,1700,1.154,1.595,2.749,49.0
Aston Villa,Chelsea,1716,1.15,1.284,2.434,54.84
Aston Villa,London Guns,1761,1.145,1.11,2.255,49.23
Aston Villa,Everton,1693,1.054,0.869,1.923,49.26
Aston Villa,Liverpool,1652,1.017,1.46,2.477,54.48
Aston Villa,Manchester Red,1670,0.891,1.272,2.163,56.35
Bournemouth,Wolverhampton,1678,1.342,1.688,3.03,45.47
Bournemouth,Crystal Palace,1701,1.227,1.269,2.496,46.5
Bournemouth,Fulham,1699,1.039,0.965,2.004,50.09
Bournemouth,Newcastle,1684,1.026,1.243,2.269,47.33
Bournemouth,West Ham,1678,0.98,1.623,2.603,44.99
Bournemouth,Brighton,1701,0.867,1.253,2.12,55.26
Bournemouth,Leeds,1681,0.831,1.156,1.987,48.54
Bournemouth,London Guns,1707,0.796,1.892,2.687,50.79
Bournemouth,Manchester Red,1738,0.73,1.915,2.645,50.46
Bournemouth,Tottenham,1637,0.728,1.771,2.498,46.67
Bournemouth,Manchester Blue,1656,0.727,2.22,2.947,46.07
Bournemouth,Aston Villa,1674,0.726,1.605,2.331,42.77
Bournemouth,Liverpool,1722,0.719,2.06,2.779,39.78
Bournemouth,Chelsea,1698,0.705,1.853,2.558,49.41
Bournemouth,Everton,1726,0.689,1.301,1.99,48.26
Brighton,Crystal Palace,1768,1.635,1.145,2.779,53.39
Brighton,Wolverhampton,1648,1.393,1.453,2.846,52.91
Brighton,Bournemouth,1701,1.253,0.867,2.12,55.26
Brighton,Fulham,1667,1.233,0.803,2.036,54.23
Brighton,West Ham,1680,1.227,1.304,2.532,43.04
Brighton,Newcastle,1662,1.095,1.055,2.15,45.43
Brighton,Everton,1709,1.034,1.03,2.064,44.12
Brighton,Chelsea,1720,1.022,1.774,2.796,44.48
Brighton,Leeds,1683,0.999,0.888,1.887,48.43
Brighton,London Guns,1701,0.961,1.6,2.561,50.03
Brighton,Aston Villa,1680,0.957,1.388,2.345,50.3
Brighton,Tottenham,1655,0.934,1.496,2.43,48.34
Brighton,Manchester Blue,1716,0.931,1.991,2.922,46.33
Brighton,Manchester Red,1729,0.846,1.749,2.595,43.09
Brighton,Liverpool,1664,0.806,1.822,2.628,49.58
Chelsea,Newcastle,1680,2.205,0.949,3.154,46.43
Chelsea,Wolverhampton,1686,2.107,1.009,3.117,47.27
Chelsea,Crystal Palace,1722,1.963,0.817,2.78,46.23
Chelsea,Fulham,1722,1.932,0.705,2.637,46.86
Chelsea,West Ham,1668,1.902,1.146,3.047,42.03
Chelsea,Bournemouth,1698,1.853,0.705,2.558,49.41
Chelsea,Brighton,1720,1.774,1.022,2.796,44.48
Chelsea,Leeds,1642,1.77,0.641,2.411,48.54
Chelsea,London Guns,1716,1.536,1.503,3.039,53.79
Chelsea,Everton,1687,1.507,0.95,2.456,47.42
Chelsea,Tottenham,1682,1.441,1.353,2.794,53.57
Chelsea,Manchester Blue,1659,1.382,1.715,3.098,54.19
Chelsea,Manchester Red,1701,1.377,1.45,2.827,63.84
Chelsea,Liverpool,1688,1.342,1.4,2.742,51.84
Chelsea,Aston Villa,1716,1.284,1.15,2.434,54.84
Crystal Palace,Wolverhampton,1697,1.292,1.622,2.915,44.55
Crystal Palace,Bournemouth,1701,1.269,1.227,2.496,46.5
Crystal Palace,Newcastle,1679,1.259,1.239,2.498,45.27
Crystal Palace,West Ham,1680,1.243,1.491,2.735,50.12
Crystal Palace,Brighton,1768,1.145,1.635,2.779,53.39
Crystal Palace,Fulham,1662,1.126,0.98,2.106,51.56
Crystal Palace,Leeds,1691,1.002,1.104,2.106,46.07
Crystal Palace,London Guns,1652,0.955,2.084,3.039,50.97
Crystal Palace,Manchester Blue,1713,0.898,2.242,3.14,55.81
Crystal Palace,Everton,1703,0.86,1.284,2.144,51.85
Crystal Palace,Chelsea,1722,0.817,1.963,2.78,46.23
Crystal Palace,Manchester Red,1644,0.797,2.038,2.835,60.1
Crystal Palace,Tottenham,1671,0.781,2.069,2.85,45.18
Crystal Palace,Aston Villa,1660,0.724,1.931,2.655,43.86
Crystal Palace,Liverpool,1729,0.599,2.232,2.831,43.2
Everton,Bournemouth,1726,1.301,0.689,1.99,48.26
Everton,Crystal Palace,1703,1.284,0.86,2.144,51.85
Everton,Wolverhampton,1701,1.251,1.133,2.384,54.2
Everton,Newcastle,1677,1.237,0.775,2.013,45.5
Everton,Fulham,1678,1.226,0.749,1.974,53.81
Everton,West Ham,1733,1.198,1.133,2.331,52.74
Everton,Tottenham,1673,1.06,1.364,2.424,46.62
Everton,Leeds,1706,1.054,0.589,1.642,43.26
Everton,Brighton,1709,1.03,1.034,2.064,44.12
Everton,London Guns,1662,0.99,1.377,2.366,42.9
Everton,Chelsea,1687,0.95,1.507,2.456,47.42
Everton,Manchester Red,1654,0.871,1.541,2.412,49.03
Everton,Aston Villa,1693,0.869,1.054,1.923,49.26
Everton,Manchester Blue,1660,0.801,1.736,2.537,45.3
Everton,Liverpool,1719,0.659,1.509,2.168,51.6
Fulham,Wolverhampton,1664,1.105,1.41,2.516,51.44
Fulham,Newcastle,1705,1.024,1.062,2.086,47.62
Fulham,West Ham,1707,1.021,1.419,2.44,59.7
Fulham,Crystal Palace,1662,0.98,1.126,2.106,51.56
Fulham,Bournemouth,1699,0.965,1.039,2.004,50.09
Fulham,Brighton,1667,0.803,1.233,2.036,54.23
Fulham,Leeds,1678,0.766,0.95,1.716,47.79
Fulham,Everton,1678,0.749,1.226,1.974,53.81
Fulham,London Guns,1702,0.749,1.822,2.571,59.11
Fulham,Chelsea,1722,0.705,1.932,2.637,46.86
Fulham,Tottenham,1717,0.646,1.713,2.359,53.29
Fulham,Manchester Red,1695,0.633,1.686,2.319,56.11
Fulham,Manchester Blue,1669,0.591,1.812,2.403,47.03
Fulham,Liverpool,1697,0.573,1.734,2.307,43.55
Fulham,Aston Villa,1721,0.554,1.726,2.279,40.62
Leeds,Bournemouth,1681,1.156,0.831,1.987,48.54
Leeds,Crystal Palace,1691,1.104,1.002,2.106,46.07
Leeds,Newcastle,1696,1.08,1.204,2.284,55.42
Leeds,Wolverhampton,1710,1.04,1.351,2.391,54.91
Leeds,West Ham,1691,0.972,1.288,2.26,46.95
Leeds,Fulham,1678,0.95,0.766,1.716,47.79
Leeds,Brighton,1683,0.888,0.999,1.887,48.43
Leeds,London Guns,1672,0.777,1.541,2.318,51.02
Leeds,Aston Villa,1659,0.695,1.345,2.04,52.32
Leeds,Chelsea,1642,0.641,1.77,2.411,48.54
Leeds,Manchester Blue,1722,0.624,1.848,2.473,47.5
Leeds,Liverpool,1695,0.601,1.6,2.201,45.66
Leeds,Tottenham,1736,0.596,1.446,2.042,46.26
Leeds,Everton,1706,0.589,1.054,1.642,43.26
Leeds,Manchester Red,1719,0.461,1.848,2.308,47.24
Liverpool,Crystal Palace,1729,2.232,0.599,2.831,43.2
Liverpool,Bournemouth,1722,2.06,0.719,2.779,39.78
Liverpool,Newcastle,1686,2.054,0.711,2.765,48.99
Liverpool,Wolverhampton,1687,1.977,0.893,2.87,49.02
Liverpool,Brighton,1664,1.822,0.806,2.628,49.58
Liverpool,West Ham,1682,1.735,0.877,2.612,53.92
Liverpool,Fulham,1697,1.734,0.573,2.307,43.55
Liverpool,London Guns,1671,1.688,1.3,2.988,53.8
Liverpool,Leeds,1695,1.6,0.601,2.201,45.66
Liverpool,Manchester Blue,1706,1.555,1.412,2.967,51.23
Liverpool,Tottenham,1698,1.554,1.305,2.859,49.35
Liverpool,Everton,1719,1.509,0.659,2.168,51.6
Liverpool,Aston Villa,1652,1.46,1.017,2.477,54.48
Liverpool,Chelsea,1688,1.4,1.342,2.742,51.84
Liverpool,Manchester Red,1689,1.353,1.371,2.724,46.48
London Guns,Crystal Palace,1652,2.084,0.955,3.039,50.97
London Guns,Newcastle,1733,1.928,0.942,2.87,49.74
London Guns,Bournemouth,1707,1.892,0.796,2.687,50.79
London Guns,Fulham,1702,1.822,0.749,2.571,59.11
London Guns,Wolverhampton,1657,1.811,1.217,3.028,45.81
London Guns,West Ham,1680,1.729,1.218,2.948,44.76
London Guns,Brighton,1701,1.6,0.961,2.561,50.03
London Guns,Leeds,1672,1.541,0.777,2.318,51.02
London Guns,Chelsea,1716,1.503,1.536,3.039,53.79
London Guns,Manchester Blue,1690,1.443,1.845,3.288,49.35
London Guns,Manchester Red,1707,1.39,1.556,2.946,53.9
London Guns,Everton,1662,1.377,0.99,2.366,42.9
London Guns,Tottenham,1672,1.312,1.453,2.764,43.18
London Guns,Liverpool,1671,1.3,1.688,2.988,53.8
London Guns,Aston Villa,1761,1.11,1.145,2.255,49.23
Manchester Blue,Wolverhampton,1690,2.381,0.997,3.378,42.07
Manchester Blue,Newcastle,1719,2.268,0.805,3.073,48.57
Manchester Blue,Crystal Palace,1713,2.242,0.898,3.14,55.81
Manchester Blue,Bournemouth,1656,2.22,0.727,2.947,46.07
Manchester Blue,West Ham,1683,2.111,1.21,3.321,43.55
Manchester Blue,Brighton,1716,1.991,0.931,2.922,46.33
Manchester Blue,Leeds,1722,1.848,0.624,2.473,47.5
Manchester Blue,London Guns,1690,1.845,1.443,3.288,49.35
Manchester Blue,Tottenham,1689,1.816,1.392,3.208,46.12
Manchester Blue,Fulham,1669,1.812,0.591,2.403,47.03
Manchester Blue,Everton,1660,1.736,0.801,2.537,45.3
Manchester Blue,Chelsea,1659,1.715,1.382,3.098,54.19
Manchester Blue,Aston Villa,1700,1.595,1.154,2.749,49.0
Manchester Blue,Liverpool,1706,1.412,1.555,2.967,51.23
Manchester Blue,Manchester Red,1709,1.343,1.333,2.676,53.13
Manchester Red,Wolverhampton,1693,2.064,0.996,3.061,48.08
Manchester Red,Crystal Palace,1644,2.038,0.797,2.835,60.1
Manchester Red,Bournemouth,1738,1.915,0.73,2.645,50.46
Manchester Red,Newcastle,1654,1.906,0.852,2.759,46.01
Manchester Red,Leeds,1719,1.848,0.461,2.308,47.24
Manchester Red,West Ham,1713,1.751,0.951,2.702,53.12
Manchester Red,Brighton,1729,1.749,0.846,2.595,43.09
Manchester Red,Fulham,1695,1.686,0.633,2.319,56.11
Manchester Red,London Guns,1707,1.556,1.39,2.946,53.9
Manchester Red,Everton,1654,1.541,0.871,2.412,49.03
Manchester Red,Chelsea,1701,1.45,1.377,2.827,63.84
Manchester Red,Tottenham,1662,1.398,1.286,2.685,50.06
Manchester Red,Liverpool,1689,1.371,1.353,2.724,46.48
Manchester Red,Manchester Blue,1709,1.333,1.343,2.676,53.13
Manchester Red,Aston Villa,1670,1.272,0.891,2.163,56.35
Newcastle,Wolverhampton,1716,1.387,1.634,3.021,51.52
Newcastle,Bournemouth,1684,1.243,1.026,2.269,47.33
Newcastle,Crystal Palace,1679,1.239,1.259,2.498,45.27
Newcastle,Leeds,1696,1.204,1.08,2.284,55.42
Newcastle,West Ham,1679,1.16,1.728,2.888,54.62
Newcastle,Fulham,1705,1.062,1.024,2.086,47.62
Newcastle,Brighton,1662,1.055,1.095,2.15,45.43
Newcastle,Chelsea,1680,0.949,2.205,3.154,46.43
Newcastle,London Guns,1733,0.942,1.928,2.87,49.74
Newcastle,Tottenham,1704,0.887,1.672,2.559,43.19
Newcastle,Manchester Red,1654,0.852,1.906,2.759,46.01
Newcastle,Manchester Blue,1719,0.805,2.268,3.073,48.57
Newcastle,Everton,1677,0.775,1.237,2.013,45.5
Newcastle,Liverpool,1686,0.711,2.054,2.765,48.99
Newcastle,Aston Villa,1696,0.682,1.723,2.405,43.69
Tottenham,Crystal Palace,1671,2.069,0.781,2.85,45.18
Tottenham,Wolverhampton,1738,1.828,1.159,2.987,48.85
Tottenham,Bournemouth,1637,1.771,0.728,2.498,46.67
Tottenham,West Ham,1710,1.739,0.988,2.727,54.27
Tottenham,Fulham,1717,1.713,0.646,2.359,53.29
Tottenham,Newcastle,1704,1.672,0.887,2.559,43.19
Tottenham,Brighton,1655,1.496,0.934,2.43,48.34
Tottenham,London Guns,1672,1.453,1.312,2.764,43.18
Tottenham,Leeds,1736,1.446,0.596,2.042,46.26
Tottenham,Manchester Blue,1689,1.392,1.816,3.208,46.12
Tottenham,Everton,1673,1.364,1.06,2.424,46.62
Tottenham,Chelsea,1682,1.353,1.441,2.794,53.57
Tottenham,Liverpool,1698,1.305,1.554,2.859,49.35
Tottenham,Manchester Red,1662,1.286,1.398,2.685,50.06
Tottenham,Aston Villa,1729,1.118,1.172,2.29,46.67
West Ham,Newcastle,1679,1.728,1.16,2.888,54.62
West Ham,Bournemouth,1678,1.623,0.98,2.603,44.99
West Ham,Wolverhampton,1718,1.594,1.583,3.177,51.92
West Ham,Crystal Palace,1680,1.491,1.243,2.735,50.12
West Ham,Fulham,1707,1.419,1.021,2.44,59.7
West Ham,Brighton,1680,1.304,1.227,2.532,43.04
West Ham,Leeds,1691,1.288,0.972,2.26,46.95
West Ham,London Guns,1680,1.218,1.729,2.948,44.76
West Ham,Manchester Blue,1683,1.21,2.111,3.321,43.55
West Ham,Chelsea,1668,1.146,1.902,3.047,42.03
West Ham,Everton,1733,1.133,1.198,2.331,52.74
West Ham,Aston Villa,1671,1.032,1.405,2.437,49.67
West Ham,Tottenham,1710,0.988,1.739,2.727,54.27
West Ham,Manchester Red,1713,0.951,1.751,2.702,53.12
West Ham,Liverpool,1682,0.877,1.735,2.612,53.92
Wolverhampton,Bournemouth,1678,1.688,1.342,3.03,45.47
Wolverhampton,Newcastle,1716,1.634,1.387,3.021,51.52
Wolverhampton,Crystal Palace,1697,1.622,1.292,2.915,44.55
Wolverhampton,West Ham,1718,1.583,1.594,3.177,51.92
Wolverhampton,Brighton,1648,1.453,1.393,2.846,52.91
Wolverhampton,Fulham,1664,1.41,1.105,2.516,51.44
Wolverhampton,Leeds,1710,1.351,1.04,2.391,54.91
Wolverhampton,London Guns,1657,1.217,1.811,3.028,45.81
Wolverhampton,Tottenham,1738,1.159,1.828,2.987,48.85
Wolverhampton,Everton,1701,1.133,1.251,2.384,54.2
Wolverhampton,Aston Villa,1703,1.094,1.701,2.794,43.16
Wolverhampton,Chelsea,1686,1.009,2.107,3.117,47.27
Wolverhampton,Manchester Blue,1690,0.997,2.381,3.378,42.07
Wolverhampton,Manchester Red,1693,0.996,2.064,3.061,48.08
Wolverhampton,Liverpool,1687,0.893,1.977,2.87,49.02
