# WC pattern chains — spot what leads to odd (1) vs even (0) goals
# MD: 8 bits = WC slots 1..8 | tokens = slot:HW×FW:bit

=== VFLM 5397 ===
  MD01 00011010 | 1:LMW×LMW:0 2:LMW×LMW:0 3:LMW×LMW:0 4:LMW×LMW:1 5:LMW×LMW:1 6:LMW×LMW:0 7:LMW×LMW:1 8:LMW×LMW:0
  MD02 10100101 | 1:UMW×HW:1 2:HW×UMW:0 3:FW×HW:1 4:LMW×HW:0 5:UMW×LMW:0 6:UMW×LMW:1 7:FW×LMW:0 8:FW×FW:1
  MD03 10100110 | 1:HW×HW:1 2:UMW×HW:0 3:HW×LMW:1 4:FW×UMW:0 5:UMW×FW:0 6:LMW×UMW:1 7:LMW×LMW:1 8:FW×FW:0
  MD04 01100001 | 1:UMW×HW:0 2:HW×HW:1 3:LMW×HW:1 4:UMW×LMW:0 5:FW×UMW:0 6:LMW×UMW:0 7:LMW×FW:0 8:FW×FW:1
  MD05 11011110 | 1:HW×UMW:1 2:UMW×UMW:1 3:HW×LMW:0 4:HW×LMW:1 5:LMW×HW:1 6:FW×UMW:1 7:FW×LMW:1 8:FW×FW:0
  MD06 11010100 | 1:UMW×HW:1 2:UMW×HW:1 3:FW×HW:0 4:HW×LMW:1 5:UMW×FW:0 6:UMW×LMW:1 7:LMW×LMW:0 8:FW×FW:0
  MD07 00100100 | 1:HW×HW:0 2:UMW×UMW:0 3:HW×FW:1 4:FW×HW:0 5:UMW×LMW:0 6:UMW×LMW:1 7:LMW×FW:0 8:LMW×FW:0
  MD08 10100001 | 1:UMW×HW:1 2:HW×HW:0 3:UMW×UMW:1 4:FW×HW:0 5:LMW×UMW:0 6:FW×LMW:0 7:LMW×LMW:0 8:FW×FW:1
  MD09 11111010 | 1:HW×HW:1 2:UMW×HW:1 3:LMW×HW:1 4:UMW×LMW:1 5:UMW×LMW:1 6:UMW×FW:0 7:LMW×FW:1 8:FW×FW:0
  MD10 00111100 | 1:HW×UMW:0 2:UMW×HW:0 3:FW×HW:1 4:HW×LMW:1 5:LMW×UMW:1 6:FW×UMW:1 7:LMW×FW:0 8:FW×LMW:0
  MD11 01011001 | 1:UMW×HW:0 2:UMW×UMW:1 3:HW×FW:0 4:FW×HW:1 5:HW×FW:1 6:LMW×UMW:0 7:LMW×FW:0 8:LMW×LMW:1
  MD12 10001110 | 1:HW×HW:1 2:HW×UMW:0 3:FW×HW:0 4:FW×UMW:0 5:LMW×UMW:1 6:UMW×LMW:1 7:LMW×LMW:1 8:FW×FW:0
  MD13 10011111 | 1:HW×HW:1 2:HW×LMW:0 3:HW×FW:0 4:UMW×FW:1 5:UMW×FW:1 6:UMW×FW:1 7:LMW×UMW:1 8:LMW×LMW:1
  MD14 00111101 | 1:UMW×HW:0 2:FW×HW:0 3:LMW×HW:1 4:HW×LMW:1 5:FW×UMW:1 6:FW×UMW:1 7:LMW×UMW:0 8:FW×LMW:1
  MD15 11010111 | 1:HW×UMW:1 2:UMW×HW:1 3:HW×LMW:0 4:HW×FW:1 5:UMW×FW:0 6:UMW×LMW:1 7:LMW×FW:1 8:FW×LMW:1
  MD16 11011011 | 1:HW×UMW:1 2:FW×HW:1 3:HW×FW:0 4:LMW×HW:1 5:UMW×FW:1 6:UMW×FW:0 7:LMW×UMW:1 8:LMW×LMW:1
  MD17 11011001 | 1:HW×HW:1 2:HW×UMW:1 3:UMW×UMW:0 4:FW×HW:1 5:UMW×LMW:1 6:FW×LMW:0 7:FW×LMW:0 8:LMW×FW:1
  MD18 11011010 | 1:UMW×HW:1 2:HW×HW:1 3:HW×UMW:0 4:LMW×UMW:1 5:FW×UMW:1 6:LMW×FW:0 7:LMW×FW:1 8:LMW×FW:0
  MD19 10101010 | 1:UMW×HW:1 2:UMW×UMW:0 3:HW×LMW:1 4:HW×LMW:0 5:FW×HW:1 6:UMW×LMW:0 7:FW×LMW:1 8:FW×FW:0
  MD20 10000001 | 1:HW×UMW:1 2:LMW×HW:0 3:LMW×HW:0 4:HW×FW:0 5:LMW×UMW:0 6:LMW×UMW:0 7:FW×UMW:0 8:FW×FW:1
  MD21 01101001 | 1:HW×UMW:0 2:HW×HW:1 3:HW×FW:1 4:UMW×LMW:0 5:UMW×LMW:1 6:UMW×LMW:0 7:FW×LMW:0 8:FW×FW:1
  MD22 00010000 | 1:HW×HW:0 2:HW×UMW:0 3:FW×HW:0 4:LMW×UMW:1 5:FW×UMW:0 6:LMW×UMW:0 7:FW×LMW:0 8:LMW×FW:0
  MD23 11001011 | 1:UMW×HW:1 2:UMW×HW:1 3:HW×LMW:0 4:HW×FW:0 5:UMW×LMW:1 6:UMW×FW:0 7:LMW×LMW:1 8:FW×FW:1
  MD24 10010010 | 1:HW×UMW:1 2:HW×UMW:0 3:LMW×HW:0 4:FW×HW:1 5:UMW×LMW:0 6:LMW×UMW:0 7:FW×LMW:1 8:FW×FW:0
  MD25 10000001 | 1:HW×FW:1 2:FW×HW:0 3:LMW×HW:0 4:HW×FW:0 5:UMW×FW:0 6:LMW×UMW:0 7:UMW×LMW:0 8:UMW×LMW:1
  MD26 00110101 | 1:HW×HW:0 2:HW×UMW:0 3:FW×HW:1 4:FW×UMW:1 5:UMW×FW:0 6:FW×UMW:1 7:LMW×LMW:0 8:LMW×LMW:1
  MD27 11010000 | 1:HW×HW:1 2:UMW×HW:1 3:HW×UMW:0 4:UMW×FW:1 5:UMW×LMW:0 6:LMW×FW:0 7:LMW×LMW:0 8:FW×FW:0
  MD28 01010110 | 1:UMW×HW:0 2:HW×UMW:1 3:FW×HW:0 4:FW×HW:1 5:LMW×UMW:0 6:LMW×UMW:1 7:FW×LMW:1 8:FW×LMW:0
  MD29 01011010 | 1:UMW×UMW:0 2:LMW×HW:1 3:HW×FW:0 4:HW×FW:1 5:HW×LMW:1 6:UMW×LMW:0 7:UMW×FW:1 8:LMW×FW:0
  MD30 01111110 | 1:HW×HW:0 2:HW×LMW:1 3:LMW×HW:1 4:FW×UMW:1 5:UMW×LMW:1 6:FW×UMW:1 7:FW×UMW:1 8:FW×LMW:0

=== VFLM 5398 ===
  MD01 10101110 | 1:LMW×LMW:1 2:LMW×LMW:0 3:LMW×LMW:1 4:LMW×LMW:0 5:LMW×LMW:1 6:LMW×LMW:1 7:LMW×LMW:1 8:LMW×LMW:0
  MD02 01001100 | 1:UMW×HW:0 2:UMW×HW:1 3:FW×HW:0 4:LMW×HW:0 5:FW×UMW:1 6:LMW×UMW:1 7:FW×LMW:0 8:FW×LMW:0
  MD03 00101101 | 1:HW×UMW:0 2:HW×UMW:0 3:HW×FW:1 4:LMW×HW:0 5:FW×UMW:1 6:UMW×FW:1 7:LMW×FW:0 8:LMW×LMW:1
  MD04 00100101 | 1:UMW×HW:0 2:HW×HW:0 3:UMW×UMW:1 4:HW×FW:0 5:FW×UMW:0 6:LMW×LMW:1 7:FW×LMW:0 8:FW×LMW:1
  MD05 01001110 | 1:HW×HW:0 2:HW×UMW:1 3:UMW×HW:0 4:UMW×FW:0 5:FW×UMW:1 6:FW×LMW:1 7:LMW×LMW:1 8:LMW×FW:0
  MD06 01011110 | 1:HW×UMW:0 2:HW×UMW:1 3:LMW×HW:0 4:LMW×HW:1 5:UMW×FW:1 6:FW×UMW:1 7:LMW×FW:1 8:FW×LMW:0
  MD07 01101101 | 1:UMW×HW:0 2:UMW×UMW:1 3:FW×HW:1 4:HW×LMW:0 5:LMW×HW:1 6:LMW×UMW:1 7:LMW×FW:0 8:FW×FW:1
  MD08 10110000 | 1:HW×HW:1 2:HW×FW:0 3:FW×HW:1 4:UMW×FW:1 5:UMW×FW:0 6:LMW×UMW:0 7:UMW×LMW:0 8:LMW×LMW:0
  MD09 10000101 | 1:HW×UMW:1 2:HW×UMW:0 3:HW×LMW:0 4:LMW×HW:0 5:FW×UMW:0 6:FW×UMW:1 7:FW×LMW:0 8:LMW×FW:1
  MD10 11101001 | 1:UMW×HW:1 2:LMW×HW:1 3:HW×LMW:1 4:HW×LMW:0 5:LMW×UMW:1 6:FW×UMW:0 7:FW×UMW:0 8:FW×FW:1
  MD11 10100000 | 1:UMW×HW:1 2:HW×FW:0 3:HW×FW:1 4:FW×HW:0 5:UMW×LMW:0 6:UMW×LMW:0 7:LMW×UMW:0 8:LMW×FW:0
  MD12 00001000 | 1:UMW×HW:0 2:FW×HW:0 3:HW×LMW:0 4:FW×HW:0 5:LMW×UMW:1 6:FW×UMW:0 7:UMW×FW:0 8:LMW×LMW:0
  MD13 11100010 | 1:HW×UMW:1 2:UMW×UMW:1 3:HW×FW:1 4:HW×LMW:0 5:FW×HW:0 6:UMW×LMW:0 7:LMW×FW:1 8:FW×LMW:0
  MD14 10100001 | 1:UMW×HW:1 2:HW×HW:0 3:UMW×UMW:1 4:LMW×HW:0 5:LMW×UMW:0 6:LMW×LMW:0 7:FW×FW:0 8:FW×FW:1
  MD15 10110000 | 1:HW×HW:1 2:UMW×UMW:0 3:HW×LMW:1 4:HW×FW:1 5:FW×UMW:0 6:LMW×UMW:0 7:LMW×LMW:0 8:FW×FW:0
  MD16 10111110 | 1:HW×UMW:1 2:HW×HW:0 3:HW×FW:1 4:FW×UMW:1 5:FW×UMW:1 6:LMW×UMW:1 7:LMW×LMW:1 8:FW×LMW:0
  MD17 11000110 | 1:UMW×HW:1 2:UMW×HW:1 3:FW×HW:0 4:HW×FW:0 5:UMW×LMW:0 6:UMW×FW:1 7:LMW×LMW:1 8:LMW×FW:0
  MD18 01111011 | 1:HW×UMW:0 2:HW×UMW:1 3:HW×UMW:1 4:FW×HW:1 5:UMW×LMW:1 6:FW×LMW:0 7:FW×LMW:1 8:FW×LMW:1
  MD19 11101000 | 1:UMW×HW:1 2:UMW×HW:1 3:UMW×HW:1 4:LMW×HW:0 5:UMW×FW:1 6:LMW×LMW:0 7:LMW×FW:0 8:FW×FW:0
  MD20 01000000 | 1:HW×UMW:0 2:UMW×UMW:1 3:HW×LMW:0 4:HW×LMW:0 5:HW×FW:0 6:FW×UMW:0 7:FW×LMW:0 8:LMW×FW:0
  MD21 00101100 | 1:UMW×HW:0 2:LMW×HW:0 3:LMW×HW:1 4:FW×HW:0 5:UMW×LMW:1 6:UMW×FW:1 7:FW×UMW:0 8:LMW×FW:0
  MD22 00000101 | 1:UMW×UMW:0 2:HW×FW:0 3:FW×HW:0 4:HW×LMW:0 5:HW×LMW:0 6:FW×UMW:1 7:UMW×FW:0 8:LMW×LMW:1
  MD23 01111010 | 1:HW×HW:0 2:UMW×HW:1 3:UMW×UMW:1 4:FW×HW:1 5:UMW×LMW:1 6:LMW×LMW:0 7:LMW×FW:1 8:FW×FW:0
  MD24 10101101 | 1:HW×HW:1 2:UMW×UMW:0 3:LMW×HW:1 4:HW×LMW:0 5:FW×UMW:1 6:LMW×UMW:1 7:LMW×FW:0 8:FW×FW:1
  MD25 01110101 | 1:HW×HW:0 2:UMW×UMW:1 3:FW×HW:1 4:HW×LMW:1 5:UMW×FW:0 6:UMW×FW:1 7:LMW×LMW:0 8:FW×LMW:1
  MD26 01000000 | 1:UMW×UMW:0 2:FW×HW:1 3:LMW×HW:0 4:HW×FW:0 5:FW×HW:0 6:LMW×UMW:0 7:UMW×LMW:0 8:LMW×FW:0
