phase,home_tier,away_tier,matches,home_win_rate,draw_rate,away_win_rate,home_dc_rate,away_dc_rate,any_win_rate
P1,T1,T1,214,0.4346,0.3224,0.243,0.757,0.5654,0.6776
P1,T1,T2,548,0.7646,0.1715,0.0639,0.9361,0.2354,0.8285
P1,T1,T3,743,0.8466,0.1198,0.0336,0.9664,0.1534,0.8802
P1,T1,T4,1293,0.935,0.0572,0.0077,0.9923,0.065,0.9428
P1,T2,T1,419,0.1504,0.2291,0.6205,0.3795,0.8496,0.7709
P1,T2,T2,544,0.3346,0.4779,0.1875,0.8125,0.6654,0.5221
P1,T2,T3,895,0.6335,0.2927,0.0737,0.9263,0.3665,0.7073
P1,T2,T4,768,0.8021,0.1667,0.0312,0.9688,0.1979,0.8333
P1,T3,T1,650,0.06,0.2123,0.7277,0.2723,0.94,0.7877
P1,T3,T2,766,0.2089,0.2624,0.5287,0.4713,0.7911,0.7376
P1,T3,T3,561,0.246,0.5775,0.1765,0.8235,0.754,0.4225
P1,T3,T4,515,0.6932,0.2602,0.0466,0.9534,0.3068,0.7398
P1,T4,T1,1055,0.0095,0.1213,0.8692,0.1308,0.9905,0.8787
P1,T4,T2,652,0.0475,0.2147,0.7377,0.2623,0.9525,0.7853
P1,T4,T3,445,0.0966,0.3865,0.5169,0.4831,0.9034,0.6135
P1,T4,T4,203,0.2956,0.5074,0.197,0.803,0.7044,0.4926
P2,T1,T1,427,0.4496,0.2389,0.3115,0.6885,0.5504,0.7611
P2,T1,T2,697,0.6456,0.2037,0.1506,0.8494,0.3544,0.7963
P2,T1,T3,731,0.7223,0.1929,0.0848,0.9152,0.2777,0.8071
P2,T1,T4,766,0.8577,0.1188,0.0235,0.9765,0.1423,0.8812
P2,T2,T1,622,0.254,0.2669,0.4791,0.5209,0.746,0.7331
P2,T2,T2,521,0.4223,0.2802,0.2975,0.7025,0.5777,0.7198
P2,T2,T3,656,0.6052,0.2607,0.1341,0.8659,0.3948,0.7393
P2,T2,T4,771,0.7704,0.1764,0.0532,0.9468,0.2296,0.8236
P2,T3,T1,685,0.1328,0.2715,0.5956,0.4044,0.8672,0.7285
P2,T3,T2,660,0.2955,0.2924,0.4121,0.5879,0.7045,0.7076
P2,T3,T3,538,0.4033,0.3271,0.2695,0.7305,0.5967,0.6729
P2,T3,T4,699,0.5994,0.289,0.1116,0.8884,0.4006,0.711
P2,T4,T1,775,0.0774,0.1806,0.7419,0.2581,0.9226,0.8194
P2,T4,T2,680,0.1279,0.2926,0.5794,0.4206,0.8721,0.7074
P2,T4,T3,620,0.2306,0.3258,0.4435,0.5565,0.7694,0.6742
P2,T4,T4,408,0.3775,0.3578,0.2647,0.7353,0.6225,0.6422
P3,T1,T1,472,0.4555,0.2246,0.3199,0.6801,0.5445,0.7754
P3,T1,T2,681,0.6241,0.2217,0.1542,0.8458,0.3759,0.7783
P3,T1,T3,733,0.719,0.1869,0.0941,0.9059,0.281,0.8131
P3,T1,T4,735,0.834,0.1306,0.0354,0.9646,0.166,0.8694
P3,T2,T1,662,0.2825,0.2523,0.4653,0.5347,0.7175,0.7477
P3,T2,T2,517,0.4545,0.2398,0.3056,0.6944,0.5455,0.7602
P3,T2,T3,680,0.5603,0.2647,0.175,0.825,0.4397,0.7353
P3,T2,T4,708,0.7218,0.1836,0.0946,0.9054,0.2782,0.8164
P3,T3,T1,686,0.1895,0.242,0.5685,0.4315,0.8105,0.758
P3,T3,T2,699,0.2876,0.3004,0.412,0.588,0.7124,0.6996
P3,T3,T3,486,0.4177,0.2984,0.284,0.716,0.5823,0.7016
P3,T3,T4,703,0.606,0.2361,0.1579,0.8421,0.394,0.7639
P3,T4,T1,703,0.0725,0.1821,0.7454,0.2546,0.9275,0.8179
P3,T4,T2,673,0.1709,0.26,0.5691,0.4309,0.8291,0.74
P3,T4,T3,668,0.2665,0.3024,0.4311,0.5689,0.7335,0.6976
P3,T4,T4,477,0.3983,0.3354,0.2662,0.7338,0.6017,0.6646
P4,T1,T1,466,0.4871,0.2082,0.3047,0.6953,0.5129,0.7918
P4,T1,T2,700,0.6186,0.2171,0.1643,0.8357,0.3814,0.7829
P4,T1,T3,691,0.7294,0.1925,0.0781,0.9219,0.2706,0.8075
P4,T1,T4,762,0.7861,0.1496,0.0643,0.9357,0.2139,0.8504
P4,T2,T1,629,0.2798,0.2766,0.4436,0.5564,0.7202,0.7234
P4,T2,T2,530,0.4509,0.2792,0.2698,0.7302,0.5491,0.7208
