Phase,Matchup,Matches,W_Count,D_Count,L_Count,Home_Win%,Draw%,Away_Win%,Home_ROI%,Draw_ROI%,Away_ROI%
P1,T1 v T1,214,93,69,52,43.5,32.2,24.3,8.64,3.18,-31.96
P1,T1 v T2,548,419,94,35,76.5,17.2,6.4,91.15,-45.11,-82.12
P1,T1 v T3,743,629,89,25,84.7,12.0,3.4,111.64,-61.67,-90.58
P1,T1 v T4,1293,1209,74,10,93.5,5.7,0.8,133.76,-81.69,-97.83
P1,T2 v T1,419,63,96,260,15.0,22.9,62.1,-62.41,-26.68,73.75
P1,T2 v T2,544,182,260,102,33.5,47.8,18.8,-16.36,52.94,-47.5
P1,T2 v T3,895,567,262,66,63.4,29.3,7.4,58.38,-6.32,-79.35
P1,T2 v T4,768,616,128,24,80.2,16.7,3.1,100.52,-46.67,-91.25
P1,T3 v T1,650,39,138,473,6.0,21.2,72.8,-85.0,-32.06,103.75
P1,T3 v T2,766,160,201,405,20.9,26.2,52.9,-47.78,-16.03,48.04
P1,T3 v T3,561,138,324,99,24.6,57.8,17.6,-38.5,84.81,-50.59
P1,T3 v T4,515,357,134,24,69.3,26.0,4.7,73.3,-16.74,-86.95
P1,T4 v T1,1055,10,128,917,0.9,12.1,86.9,-97.63,-61.18,143.37
P1,T4 v T2,652,31,140,481,4.8,21.5,73.8,-88.11,-31.29,106.56
P1,T4 v T3,445,43,172,230,9.7,38.7,51.7,-75.84,23.69,44.72
P1,T4 v T4,203,60,103,40,29.6,50.7,19.7,-26.11,62.36,-44.83
P2,T1 v T1,427,192,102,133,45.0,23.9,31.1,12.41,-23.56,-12.79
P2,T1 v T2,697,450,142,105,64.6,20.4,15.1,61.41,-34.81,-57.82
P2,T1 v T3,731,528,141,62,72.2,19.3,8.5,80.57,-38.28,-76.25
P2,T1 v T4,766,657,91,18,85.8,11.9,2.3,114.43,-61.98,-93.42
P2,T2 v T1,622,158,166,298,25.4,26.7,47.9,-36.5,-14.6,34.15
P2,T2 v T2,521,220,146,155,42.2,28.0,29.8,5.57,-10.33,-16.7
P2,T2 v T3,656,397,171,88,60.5,26.1,13.4,51.3,-16.59,-62.44
P2,T2 v T4,771,594,136,41,77.0,17.6,5.3,92.61,-43.55,-85.11
P2,T3 v T1,685,91,186,408,13.3,27.2,59.6,-66.79,-13.11,66.77
P2,T3 v T2,660,195,193,272,29.5,29.2,41.2,-26.14,-6.42,15.39
P2,T3 v T3,538,217,176,145,40.3,32.7,27.0,0.84,4.68,-24.54
