Phase,Matchup,Matches,W_Count,D_Count,L_Count,Home_Win%,Draw%,Away_Win%,Home_ROI%,Draw_ROI%,Away_ROI%
P1,W1 v W1,506,229,127,150,45.3,25.1,29.6,13.14,-19.68,-17.0
P1,W1 v W2,723,388,156,179,53.7,21.6,24.8,34.16,-30.95,-30.68
P1,W1 v W3,694,474,133,87,68.3,19.2,12.5,70.75,-38.67,-64.9
P1,W1 v W4,667,498,108,61,74.7,16.2,9.1,86.66,-48.19,-74.39
P1,W2 v W1,683,251,184,248,36.7,26.9,36.3,-8.13,-13.79,1.67
P1,W2 v W2,502,233,134,135,46.4,26.7,26.9,16.04,-14.58,-24.7
P1,W2 v W3,709,385,172,152,54.3,24.3,21.4,35.75,-22.37,-39.97
P1,W2 v W4,696,449,138,109,64.5,19.8,15.7,61.28,-36.55,-56.15
P1,W3 v W1,689,155,168,366,22.5,24.4,53.1,-43.76,-21.97,48.74
P1,W3 v W2,655,204,163,288,31.1,24.9,44.0,-22.14,-20.37,23.11
P1,W3 v W3,503,221,148,134,43.9,29.4,26.6,9.84,-5.84,-25.41
P1,W3 v W4,685,372,165,148,54.3,24.1,21.6,35.77,-22.92,-39.5
P1,W4 v W1,668,112,147,409,16.8,22.0,61.2,-58.08,-29.58,71.44
P1,W4 v W2,666,167,170,329,25.1,25.5,49.4,-37.31,-18.32,38.32
P1,W4 v W3,697,236,166,295,33.9,23.8,42.3,-15.35,-23.79,18.51
P1,W4 v W4,528,242,133,153,45.8,25.2,29.0,14.58,-19.39,-18.86
P2,W1 v W1,502,223,133,146,44.4,26.5,29.1,11.06,-15.22,-18.57
P2,W1 v W2,678,360,172,146,53.1,25.4,21.5,32.74,-18.82,-39.71
P2,W1 v W3,680,465,127,88,68.4,18.7,12.9,70.96,-40.24,-63.76
P2,W1 v W4,688,514,114,60,74.7,16.6,8.7,86.77,-46.98,-75.58
P2,W2 v W1,681,245,191,245,36.0,28.0,36.0,-10.06,-10.25,0.73
P2,W2 v W2,518,232,138,148,44.8,26.6,28.6,11.97,-14.75,-20.0
P2,W2 v W3,670,373,160,137,55.7,23.9,20.4,39.18,-23.58,-42.75
P2,W2 v W4,670,452,141,77,67.5,21.0,11.5,68.66,-32.66,-67.82
P2,W3 v W1,680,142,149,389,20.9,21.9,57.2,-47.79,-29.88,60.18
